,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Fuel Efficiency (Highway),Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Portable),Generator,Grey / Black Water Tanks,Heater / Furnace,Inverter,Refrigerator,Roof Fan,Roof Rack,Shower (Outdoor),Sink,Solar,Toilet,USB port,Water Heater,Water Pump,Fresh Water Tank (Built-in),Shower (Indoor),Stove,Towing Package,Heated seats,Offroad Lights,Awning,Cooler,Offroad Tires,Security System,Suspension Mods,Tow Winch,Oven,Propane,Skylight,Bike Rack,Child Seat,Microwave,TV,Shower,Fuel (Code)
489,Classic style camper price drop,14000.0,"Bay Shore, New York, United States",1990,Other,42000.0,2WD,Clean,Automatic,Diesel,18.0,,2,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
490,2019 Promaster 2500 Custom Conversion,69500.0,Littleton New Hampshire,2019,Promaster,15000.0,2WD,Clean,Automatic,Gasoline,16.0,159.0,2,2,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,2
491,2002 Ford E-350 7.3 Powerstroke Short Bus - Ready To Build,30000.0,"Eugene, Oregon, United States",2002,Other,202000.0,2WD,Clean,Automatic,Diesel,18.009009,,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
492,Campulance!,20000.0,"Tampa, Florida 33606, United States",1992,Other,51717.0,2WD,Clean,Automatic,Diesel,24.0,,2,2,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
493,Full-Timers Only,129999.0,"Phoenix, Arizona, United States",2021,Promaster,20.0,2WD,Lien,Automatic,Gasoline,18.009009,159.0,2,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,2
494,2015 Mercedes Sprinter For Sale,39500.0,"Mechanicville, New York, United States",2015,Sprinter,72500.0,2WD,Lien,Automatic,Diesel,17.0,170.0,2,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
495,SOLD - 2019 Sprinter 144 Modular Build,82000.0,"Salt Lake City, Utah, United States",2019,Sprinter,25400.0,2WD,Clean,Automatic,Gasoline,16.0,144.0,5,5,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2
496,"2018 Nissan with shower, toilet, dual fans and heater",42000.0,"Bellevue, Washington, United States",2018,Other,37000.0,2WD,Clean,Automatic,Gasoline,18.009009,,2,2,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
497,Pro Master 2500 Professional Custom Built,82000.0,"Providence, Rhode Island, United States",2021,Other,10000.0,2WD,Lien,Automatic,Gasoline,18.009009,,2,2,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
498,Warsaw 4x4 Conversion,25000.0,"Bellevue, Idaho, United States",2002,Other,86000.0,4WD,Clean,Automatic,Gasoline,18.009009,,4,4,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2
499,2019 Conversion Van for 2,30000.0,"Carlisle, Iowa 50047, United States",2019,Promaster,10000.0,2WD,Clean,Automatic,Gasoline,18.009009,,2,2,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
500,"""Havasu"" by VanGirlDesigns: 2021 ProMaster 159 bike hauler",92000.0,"Santa Cruz, California, United States",2021,Promaster,4000.0,2WD,Clean,Automatic,Gasoline,19.571429,159.0,2,2,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
501,"2017 Ram Promaster 2500 Campervan, High Roof, 159"" wheelbase",52500.0,"Wisconsin, United States",2017,Promaster,103000.0,2WD,Clean,Automatic,Gasoline,17.0,159.0,2,2,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
502,Fully Loaded 2016 Mercedes Sprinter 4X4 170WB,149000.0,"Grand Haven, Michigan, United States",2016,Sprinter,60000.0,4WD,Clean,Automatic,Diesel,17.0,170.0,2,2,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
503,1993 International 3800 DTA 360 Fully Off Grid,50000.0,"John Wayne Airport, 18601 Airport Way, Santa Ana, California 92707, United States",1993,Other,161000.0,2WD,Clean,Manual (Stick Shift),Diesel,18.009009,,1,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1
504,2018 2 WD 144”,54900.0,"Hopkins, Minnesota, United States",2018,Other,60000.0,2WD,Clean,Automatic,Diesel,18.009009,144.0,2,2,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
505,2014 Fully Converted Sprinter Van,69000.0,"Weatherford, Texas 76085, United States",2014,Sprinter,75500.0,2WD,Clean,Automatic,Diesel,18.009009,144.0,2,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1
506,Beautiful and cozy 2015 Promaster for sale!,56000.0,"Boulder, Colorado, United States",2015,Promaster,145000.0,2WD,Clean,Automatic,Gasoline,18.009009,159.0,2,2,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2
507,2008 dodge sprinter,25000.0,"Chicago, Illinois, United States",2008,Sprinter,40000.0,2WD,Clean,Automatic,Diesel,16.0,144.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
508,2020 Off Grid Modern Camper Van,85000.0,"Green Cove Springs, Florida, United States",2020,Sprinter,3100.0,2WD,Lien,Automatic,Diesel,18.009009,144.0,2,2,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
509,Hand Built Completely Unique Stelth Campervan,39000.0,"Los Angeles, California, United States",2018,Transit,69270.0,2WD,Clean,Automatic,Gasoline,19.571429,148.0,2,2,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,2
510,Stealthy Overlander,180000.0,"Traverse City Area, Michigan, United States",2020,Sprinter,12125.0,4WD,Clean,Automatic,Diesel,19.655462,144.0,2,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1
511,Beautifully Converted Ford Transit 250,115000.0,"Massachusetts, United States",2019,Transit,61000.0,2WD,Clean,Automatic,Gasoline,17.761538,,2,2,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2
512,Adventure Awaits!,37500.0,"Rochester, Minnesota, United States",2012,Sprinter,256415.0,2WD,Clean,Automatic,Diesel,19.655462,,2,2,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
513,Camper van 95k miles.,25000.0,"Miami, Florida, United States",2006,Other,80000.0,2WD,Clean,Automatic,Gasoline,17.761538,,2,2,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
514,2021 Sprinter 144 4x4,170000.0,"Denver, Colorado, United States",2021,Sprinter,50.0,4WD,Clean,Automatic,Diesel,19.655462,144.0,4,3,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1
515,Ford Econoline 350 - High Top,14500.0,"Bend, Oregon, United States",2004,Other,281000.0,2WD,Salvage,Automatic,Gasoline,17.761538,,2,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2
516,Fully-Converted 2016 High Top Ford Transit,65000.0,"Winchester, Tennessee, United States",2016,Transit,54000.0,2WD,Clean,Automatic,Gasoline,17.761538,,2,2,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,2
517,"2017, 42K Miles",45000.0,"Monterey, California, United States",2017,Promaster,42000.0,2WD,Clean,Automatic,Gasoline,17.761538,159.0,2,2,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
518,2019 Ford Transit 250 Medium Roof - 3.5L EcoBoost - Bamboo Floor - L-Track,45000.0,"Lincoln, Nebraska, United States",2019,Transit,23000.0,2WD,Clean,Automatic,Gasoline,17.761538,0.0,2,2,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
519,2020 Sprinter with Mercedes Certified Master Upfitter conversion,110000.0,"Simi Valley, California, United States",2021,Sprinter,500.0,2WD,Clean,Automatic,Gasoline,17.761538,144.0,2,2,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
520,2013 Mercedes Sprinter,80000.0,"Whistler, British Columbia, Canada",2013,Sprinter,51000.0,2WD,Clean,Automatic,Diesel,19.655462,170.0,2,2,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1
521,**PRICE DROP AND CLEAR TITLE** 2019 Ford Transit 250 High Roof Conversion,65000.0,"Austin, Texas, United States",2019,Transit,55000.0,2WD,Clean,Automatic,Gasoline,17.761538,,2,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2
522,Take a Look at this one.,9000.0,"Grafton, North Dakota, United States",2000,Other,68000.0,2WD,Clean,Automatic,Gasoline,17.761538,,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
523,2003 VW Eurovan Weekender,28000.0,"Oregon, United States",2003,Other,197000.0,2WD,Clean,Automatic,Gasoline,17.761538,,7,4,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
524,Adventure Van,82000.0,"Ventura, California, United States",2017,Other,60000.0,2WD,Clean,Automatic,Diesel,19.655462,144.0,2,4,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1
526,2019 4x4 2500 Mercedes Sprinter - Luxury Apartment on Wheels,135000.0,"Queens, New York 11694, United States",2019,Sprinter,17000.0,4WD,Clean,Automatic,Diesel,19.655462,170.0,2,2,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1
528,Awesome Stealthy Adventure Van // PRICE REDUCED FOR QUICK SALE,55000.0,"Murfreesboro, Tennessee, United States",2016,Other,39000.0,2WD,Lien,Automatic,Diesel,19.655462,159.0,2,2,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
530,Fully Loaded Luxury Tiny Home on Wheels,149899.0,"Denver, Colorado, United States",2021,Sprinter,119.0,2WD,Clean,Automatic,Diesel,19.655462,144.0,2,2,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
532,CUSTOM BUILT RAM PROMASTER 2500 HIGH ROOF CAMPERVAN - PRICE DROP,85900.0,"Fort Collins, Colorado, United States",2020,Promaster,15770.0,2WD,Clean,Automatic,Gasoline,17.761538,159.0,2,2,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2
536,BEAUTIFULLY HANDCRAFTED YACHT ON WHEELS,119499.0,"Bend, Oregon, United States",2019,Transit,16000.0,2WD,Clean,Automatic,Gasoline,17.761538,350.0,2,2,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
537,"2021 Sprinter 170"" High Top 80% Finished (Ready for Adventure)",68000.0,"11119 Alterra Parkway, Austin, Texas 78758, United States",2021,Sprinter,3500.0,2WD,Clean,Automatic,Diesel,19.655462,170.0,3,3,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
545,2021 Luxury Custom Build with Indoor shower,83000.0,"Edgewater, Chicago, Illinois 60660, United States",2014,Promaster,165239.0,2WD,Lien,Automatic,Gasoline,17.761538,59.0,2,2,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2
546,"100% Turnkey, Van-Life Ready! 2015 Ford Transit",69000.0,"New York City, New York, United States",2015,Transit,93800.0,2WD,Clean,Automatic,Diesel,19.655462,148.0,2,2,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
556,#VANLIFE 4-Season Ram Promaster Conversion with Indoor Shower!,77000.0,"Norwalk, Connecticut 06854, United States",2014,Promaster,44000.0,2WD,Clean,Automatic,Gasoline,17.761538,136.0,2,2,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
570,2016 sprinter 4x4 adventure vehicle,129000.0,"Hood River, Oregon, United States",2016,Sprinter,112600.0,4WD,Clean,Automatic,Diesel,19.655462,144.0,2,3,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1
571,Custom Stealth Camper Van - Solar Powered Tiny Home on Wheels,100000.0,"New Jersey, United States",2019,Transit,42400.0,2WD,Clean,Automatic,Gasoline,17.761538,,2,2,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,2
576,2017 Ford Transit Ecoboost Custom Camper Conversion w/ 5 Seats,62500.0,"San Luis Obispo, California, United States",2017,Transit,63000.0,2WD,Clean,Automatic,Gasoline,17.761538,130.0,5,3,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,2
587,Rare Northeastern Gem: 2019 Mercedes Benz Sprinter Van 144” 2500 4x4,205000.0,"Pomona, New York",2019,Sprinter,23000.0,4WD,Clean,Automatic,Diesel,19.655462,144.0,2,2,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
590,2016 Sprinter 170,75000.0,"10 Via Vecino, Santa Fe, New Mexico 87506, United States",2017,Sprinter,46000.0,2WD,Clean,Automatic,Diesel,19.655462,170.0,2,2,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
594,Cozy Cabin On The Go - 2020 Ram Promaster,78000.0,"Massachusetts, United States",2020,Promaster,22000.0,2WD,Lien,Automatic,Gasoline,17.761538,159.0,2,2,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
607,4x4 144 Mercedes sprinter,164000.0,"Grass Valley, California, United States",2019,Sprinter,10000.0,4WD,Clean,Automatic,Diesel,19.655462,144.0,2,2,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1
614,2016 Mercedes Sprinter 2500 170 Passenger Van,52900.0,"Ardmore, Oklahoma, United States",2016,Sprinter,45678.0,2WD,Clean,Automatic,Diesel,19.655462,170.0,12,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
616,2020 Sprinter 4x4 Seats up to 7 -2500 High Roof 144”,149900.0,"San Antonio, Texas, United States",2020,Sprinter,16056.0,4WD,Lien,Automatic,Diesel,19.655462,144.0,7,5,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1
618,Adventure Camper Van has it all! - Ready to Travel!,49000.0,"Roanoke Rapids, North Carolina 27870, United States",2016,Promaster,108500.0,2WD,Clean,Automatic,Gasoline,17.761538,159.0,4,3,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2
623,2017 Mercedes Sprinter 4x4 170WB,105000.0,"Hamilton, Alabama, United States",2017,Sprinter,76000.0,4WD,Lien,Automatic,Diesel,19.655462,170.0,2,4,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
624,Freightliner Sprinter Crew 4x4,105000.0,"Bellingham, Washington, United States",2020,Sprinter,6000.0,4WD,Clean,Automatic,Diesel,19.655462,144.0,5,4,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
628,Van Life Chicago 2021 Ram Promaster - 8020 Build,94900.0,"3240 West Lake Avenue, Glenview, Illinois 60026, United States",2021,Promaster,18200.0,2WD,Clean,Automatic,Gasoline,17.761538,159.0,4,2,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
646,Chevy Express/GMC Savana 1500 AWD Lifted and Off-Road Ready,24300.0,"Philadelphia, Pennsylvania, United States",2011,Other,138000.0,AWD,Clean,Automatic,Gasoline,17.761538,,2,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
658,2017 Mercedes 2500 Sprinter 4x4 (Delivered New in Aug 2018),109500.0,"Hermosa Beach, California, United States",2017,Sprinter,21000.0,4WD,Clean,Automatic,Diesel,19.655462,144.0,3,3,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1
660,New Offgrid 2021 ProMaster,89900.0,"Eureka Springs, Arkansas 72632, United States",2021,Promaster,1000.0,2WD,Clean,Automatic,Gasoline,17.761538,,2,3,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
662,NEW BUILD Ford Transit van conversion,78500.0,"San Diego, California, United States",2018,Transit,65000.0,2WD,Clean,Automatic,Gasoline,17.761538,,2,2,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2
681,**Updated Pricing - Fully Converted 2020 Mercedes Sprinter 144 4x4,178000.0,"Denver, Colorado, United States",2020,Sprinter,4900.0,4WD,Clean,Automatic,Diesel,19.655462,144.0,4,3,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
709,"New 2020 Transit 350 High Roof Extended, Seat and Sleep for 4",109000.0,"La Crescenta-Montrose, California, United States",2020,Transit,440.0,2WD,Clean,Automatic,Gasoline,17.761538,148.0,4,4,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2
729,For Sale: 2020 Mercedes-Benz Sprinter 4X4 E.O. Graphite Gray/3M Black,199000.0,"Orange County, California, United States",2020,Sprinter,6800.0,4WD,Clean,Automatic,Diesel,19.655462,144.0,4,4,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1
731,Unicorn - 170” EXT 4x4 Dually Sprinter,159300.0,"Binghamton, New York, United States",2018,Sprinter,45000.0,4WD,Lien,Automatic,Diesel,19.655462,170.0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1
747,2017 Mercedes-Benz Sprinter 4x4,123000.0,"Fort Worth, Texas, United States",2017,Sprinter,95000.0,4WD,Clean,Automatic,Diesel,19.655462,170.0,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1
756,"2021 RAM PROMASTER 2500 159"" WHEEL BASE -DMVAN CONVERSION",64990.0,"El Cerrito, California, United States",2021,Promaster,14023.0,2WD,Clean,Automatic,Gasoline,17.761538,159.0,2,4,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
758,New hand-crafted converted Sprinter Campervan,94000.0,"San Diego, California, United States",2017,Sprinter,31000.0,2WD,Clean,Automatic,Diesel,19.655462,144.0,3,3,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1
759,Mercedes Sprinter Converted Campervan,95000.0,"3768 Norwood Drive, Littleton, Colorado 80125, United States",2021,Sprinter,500.0,2WD,Clean,Automatic,Gasoline,17.761538,144.0,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
767,"BRAND NEW 2021 144"" Sprinter Campervan | VanCraft Conversions",114900.0,"Oceanside, California, United States",2021,Sprinter,50.0,2WD,Clean,Automatic,Diesel,19.655462,144.0,4,3,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
785,Off Grid Sprinter 170,95000.0,"Portland, Oregon, United States",2014,Sprinter,25903.0,2WD,Clean,Automatic,Diesel,19.655462,170.0,2,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1
820,"Mercedes Sprinter 3500XD Dually 170"" 4X4",225000.0,"Malibu, California, United States",2019,Sprinter,750.0,4WD,Lien,Automatic,Diesel,19.655462,170.0,2,2,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1
835,PRICE DROP! 2019 Ram ProMaster 159wb High Roof (65k mi),57000.0,"Seattle, Washington, United States",2019,Promaster,65000.0,2WD,Clean,Automatic,Gasoline,17.761538,159.0,2,2,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
860,Perfect Space to Travel and use for Outdoorsy,63000.0,"Atlantic Beach, Florida, United States",2018,Transit,71000.0,2WD,Clean,Automatic,Gasoline,17.761538,148.0,2,3,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
862,SOLD - Professional Build With All The Comforts Of Home - Style & Function (Off-Grid Ready),85000.0,"Santa Fe, New Mexico, United States",2010,Sprinter,137700.0,2WD,Clean,Automatic,Diesel,19.655462,170.0,2,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1
863,"Newly Converted - 2020 Ram Promaster 2500 - 136""",72500.0,"Portland, Oregon, United States",2020,Promaster,13685.0,2WD,Clean,Automatic,Gasoline,17.761538,136.0,2,2,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
