,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Fuel Efficiency (Highway),Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Portable),Generator,Grey / Black Water Tanks,Heater / Furnace,Inverter,Refrigerator,Roof Fan,Roof Rack,Shower (Outdoor),Sink,Solar,Toilet,USB port,Water Heater,Water Pump,Fresh Water Tank (Built-in),Shower (Indoor),Stove,Towing Package,Heated seats,Offroad Lights,Awning,Cooler,Offroad Tires,Security System,Suspension Mods,Tow Winch,Oven,Propane,Skylight,Bike Rack,Child Seat,Microwave,TV,Shower,Fuel (Code)
445,GREAT travel Van,34000.0,"13900 Cedar Creek Drive, Sanderson, Florida 32087, United States",2014,Other,99500.0,2WD,Clean,Automatic,Gasoline,14.0,,7,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2
446,2020 Ford Transit 148 High Roof AWD,105000.0,"Orange county, California",2020,Transit,12700.0,AWD,Clean,Automatic,Gasoline,19.571429,148.0,5,2,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2
447,2017 Ram Promaster 2500,55000.0,"New Paltz, New York, United States",2017,Promaster,93000.0,2WD,Clean,Automatic,Gasoline,18.790219,159.0,2,2,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2
448,2016 Sprinter Van,65000.0,"San Diego, California, United States",2016,Sprinter,97000.0,2WD,Clean,Automatic,Diesel,16.0,144.0,2,3,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
449,"2017 Sprinter 170"" WB AWD 4 seater - Adventure ready!",129000.0,"Bentonville, Arkansas, United States",2017,Sprinter,94139.0,AWD,Clean,Automatic,Diesel,14.0,170.0,4,3,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
450,2020 RAM ProMaster 1500 high roof Low mileage,75000.0,"Сан-Диего, Калифорния, Соединённые Штаты Америки",2020,Promaster,1050.0,2WD,Clean,Automatic,Gasoline,19.571429,,3,3,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
451,Comfortable and Convenient Family RV Grand Caravan,16900.0,"Santa Monica, California 90404, United States",2013,Other,83000.0,2WD,Salvage,Automatic,Gasoline,19.571429,,5,5,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
452,2013 Ford E-350 Super Duty XLT,35000.0,United States,2013,Other,96000.0,2WD,Lien,Automatic,Gasoline,18.009009,,2,2,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2
453,"RAM PROMASTER High Roof Fully Equipped Air Conditioning Flush Toilet Full Shower, Bike Rack",79500.0,"1004 Cherry Valley Boulevard, Calimesa, California 92320, United States",2017,Promaster,73000.0,2WD,Clean,Automatic,Gasoline,25.0,,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,2
454,"2021 Ram Promaster 1500 136"" High Roof ""Freddie""",70000.0,"Los Angeles, California, United States",2021,Promaster,21500.0,2WD,Clean,Automatic,Gasoline,20.0,136.0,2,2,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
