,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Fuel Efficiency (Highway),Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Cooler,Exterior Lights,Fresh Water Tank (Portable),Inverter,Refrigerator,Roof Fan,Roof Rack,Sink,Solar,Tow Winch,Towing Package,USB port,Bike Rack,Fresh Water Tank (Built-in),Grey / Black Water Tanks,Heater / Furnace,Oven,Security System,Shower (Indoor),Shower (Outdoor),Stove,Toilet,Water Heater,Water Pump,Awning,Electric windows,Microwave,Offroad Lights,Offroad Tires,Skylight,Suspension Mods,TV,Propane,Heated seats,Generator,Child Seat,Handicap / Wheelchair Conversion
14,2021 promaster cozy cottage,79900.0,"Naples, Florida, United States",2021,Ram promaster,8000,2WD,Lien,Automatic,Gasoline,18.0,,2,2,True,True,True,True,True,True,,True,,,,,True,,,,True,,True,True,True,,,True,,True,True,True,True,,True,,,,,,,,,True,,
15,Ford 350- Campervan Conversion,40000.0,"Tarzana, Tarzana, California 91356, United States",2010,Ford E350 Econoline Super Duty Wagon,108000,2WD,Clean,Automatic,Gasoline,,,3,3,True,True,True,True,True,True,True,,True,,True,True,,True,,,True,,,,,,,,True,,,,True,,,,True,True,,,,,,,,
16,2019 Promaster Extended New Build,95000.0,"Nashville, Tennessee, United States",2019,2019 Ram Promaster 159 Extended,14000,2WD,Clean,Automatic,Gasoline,,159.0,2,2,True,True,True,True,True,,True,,True,True,,True,True,True,,,True,,True,True,True,,,,True,True,True,True,True,,True,,,True,,,,,,,,
17,2013 Sprinter New Build,79500.0,"Nashville, Tennessee, United States",2014,2013 Mercedes Sprinter 144,114000,2WD,Clean,Automatic,Diesel,,144.0,2,2,True,True,True,True,True,,,,True,True,True,True,True,True,,,True,,True,True,True,,,,True,True,True,True,True,,,,,True,,,,,,,,
18,Very Clean 2011 Mercedes Sprinter Van,29500.0,"31658 Pacific Coast Highway, Laguna Beach, California 92651, United States",2011,Mercedes Sprinter Van,171000,2WD,Clean,Automatic,Diesel,21.0,,12,2,True,,True,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
19,NEW 2020 4x4 144 MERCEDES SPRINTER,130000.0,"New York, United States",2020,144 4x4 Sprinter,300,4WD,Clean,Automatic,Diesel,16.0,144.0,2,2,True,,True,True,True,,True,True,,True,True,True,True,True,,True,True,True,True,True,True,,,True,,True,True,True,True,True,True,,,True,True,,True,True,True,,,
20,2002 VW Eurovan Weekender Westfalia,27000.0,"Long Beach, California, United States",2002,VW Eurovan Weekender Westfalia,213000,2WD,Clean,Automatic,Gasoline,,,7,4,True,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
21,2020 RAM Promaster RV Elevation Road,31999.0,"200 Gabbard Way, Mount Orab, Ohio 45154, United States",2020,Ram Promaster City,250,2WD,Clean,Automatic,Gasoline,,,2,2,True,True,True,True,True,True,True,True,,True,,,True,True,,,True,,True,,,,,,,,,,,,True,,,,,,,,,,,
22,2021 Luxury Custom Build with Indoor shower,83000.0,"Edgewater, Chicago, Illinois 60660, United States",2014,Ram Promaster,165239,2WD,Lien,Automatic,Gasoline,,59.0,2,2,True,True,,True,True,,True,True,True,True,True,,True,True,,,True,,True,,True,,True,True,,True,True,True,True,,,,,,,,True,True,,True,,
23,"100% Turnkey, Van-Life Ready! 2015 Ford Transit",69000.0,"New York City, New York, United States",2015,"Ford Transit T-350 (High Roof, Extended, Diesel, Dually)",93800,2WD,Clean,Automatic,Diesel,19.0,148.0,2,2,True,True,True,True,True,,,,True,True,True,,True,True,,True,True,,True,True,True,,,True,,True,True,True,True,,True,,,,,,,,,,,
