,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Fuel Efficiency (Highway),Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Cooler,Exterior Lights,Fresh Water Tank (Portable),Inverter,Refrigerator,Roof Fan,Roof Rack,Sink,Solar,Tow Winch,Towing Package,USB port,Bike Rack,Fresh Water Tank (Built-in),Grey / Black Water Tanks,Heater / Furnace,Oven,Security System,Shower (Indoor),Shower (Outdoor),Stove,Toilet,Water Heater,Water Pump,Awning,Electric windows,Microwave,Offroad Lights,Offroad Tires,Skylight,Suspension Mods,TV,Propane,Heated seats,Generator,Child Seat,Handicap / Wheelchair Conversion
29,PENDING - Ford Transit 350 Adventure Van,77995.0,"Phoenix, Arizona 85028, United States",2017,Ford Transit 350,30000,2WD,Clean,Automatic,Gasoline,18.0,148.0,2,3,True,True,True,True,True,,,True,True,True,True,,,,,True,,,,,True,,True,,True,True,True,True,,,True,,,True,,,,,,,True,
30,2019 Sprinter 170 4x4 Off Grid!,129000.0,"Oxnard, California, United States",2019,Mercedes Sprinter 170wb 4x4,32000,4WD,Lien,Automatic,Diesel,,170.0,3,3,True,True,True,True,True,,,True,True,True,True,,True,True,,,True,,True,True,True,True,True,,True,True,True,,True,,True,True,,,,,True,,True,,,
31,Zephyr Van - Sidewinder,205000.0,"Coeur d'Alene, Idaho, United States",2020,Mercedes Sprinter 2500 4x4,20,4WD,Clean,Automatic,Diesel,,144.0,2,2,True,True,True,True,,,True,,True,True,,True,True,True,,True,True,True,True,True,True,,,,True,True,,True,True,,,True,True,True,,True,,,,,,
32,Ultra-Modern Off-Grid 159WB Stealth Promaster,74950.0,"Salt Lake City, Utah, United States",2018,"2018 Ram Promaster 2500 159"" WB",29490,2WD,Lien,Automatic,Gasoline,,159.0,2,3,True,,True,True,True,,,,True,True,True,True,True,True,,,True,,True,True,,True,True,,,True,,,True,,True,,,True,,,True,True,,,,
33,2021 ProMaster (High Top/159) with Brand New Build,78000.0,"Millsboro, Delaware, United States",2021,Dodge ProMaster,4500,2WD,Clean,Automatic,Gasoline,,159.0,5,4,True,,True,True,,,,True,True,True,True,,True,True,,True,True,,,,,,,,,,,,,,True,,,True,,,,,,,,
34,4x4 144 Mercedes sprinter,164000.0,"Grass Valley, California, United States",2019,Mercedes sprinter 144 4x4,10000,4WD,Clean,Automatic,Diesel,,144.0,2,2,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,,True,,True,,True,True,True,True,True,True,True,,True,True,,True,,,,,,
35,Professionally Built 2016 Ram High Roof 159” Promaster,80000.0,"Boise, Idaho, United States",2016,Ram Promaster,74087,2WD,Clean,Automatic,Diesel,,,3,2,True,True,True,True,True,,True,True,True,True,True,,True,True,,,True,,True,True,True,,,,True,,True,True,True,,True,,True,,,True,,True,,True,True,
36,2011 Mercedes Sprinter 170,72000.0,"Trinidad, California, United States",2011,Mercedes Sprinter,93000,2WD,Clean,Automatic,Diesel,18.0,170.0,3,2,True,,True,True,True,True,,True,True,True,True,True,True,True,,,True,,,True,True,True,,,,True,,,True,,True,,,True,,,,True,,,,
37,Dodge RAM Promaster 2500 with Rustic conversion,54900.0,"Santa Cruz, California, United States",2018,Dodge RAM Promaster 2500,43000,2WD,Clean,Automatic,Gasoline,,118.0,3,3,True,True,True,True,,True,True,True,,True,,,True,True,,,True,True,True,,True,,,,,,True,,,,True,True,,,,,True,,,True,,
38,Go Anywhere with this '21 Transit AWD Premium Build,134000.0,"Bend, Oregon, United States",2021,"2021 Ford Transit 250 AWD 148"" High Roof",600,AWD,Lien,Automatic,Gasoline,18.0,148.0,2,3,True,,True,True,True,,,,True,True,True,True,True,True,,True,True,,True,True,True,,True,,True,True,,True,True,,True,,,True,,True,,,,,,
39,"Mercedes Sprinter Van 4x4 3500 -165,000",165000.0,"8502 East Chapman Avenue, Orange, California 92869, United States",2017,4x4 Sprinter Van 2017 -3500 - Late Model 2017 - converted Feb 2019,41000,4WD,Clean,Automatic,Diesel,,170.0,8,5,,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,True,,True,,True,True,True,,,True,True,True,,True,True,True,,True,,,True,,,
40,"2019 RAM Promaster. Bright, clean, & beautiful.",89000.0,"Salt Lake City, Utah 84102, United States",2019,Ram Promaster,17200,2WD,Clean,Automatic,Gasoline,,159.0,2,2,True,,True,True,True,True,True,,True,True,True,,True,True,,,True,,True,True,,True,True,,,True,True,True,True,,True,,,,,,,True,,,,
41,2016 Mercedes Sprinter 2500 170 Passenger Van,52900.0,"Ardmore, Oklahoma, United States",2016,Mercedes Sprinter,45678,2WD,Clean,Automatic,Diesel,,170.0,12,0,True,True,True,True,True,,True,,,,,,,,,True,True,,,,,,,,,,,,,,True,,,,,,,,True,,,
42,(Pending) 2017 Ram Promaster 3500 ext 159,60000.0,"Seattle, Washington, United States",2017,Ram Promaster 3500 ext,75000,2WD,Clean,Automatic,Gasoline,17.0,159.0,2,3,True,,True,True,True,,True,,True,True,True,,True,True,,,,True,True,True,,,,,True,True,,,,,,,True,,,,True,True,,,,
43,2020 Sprinter 4x4 Seats up to 7 -2500 High Roof 144”,149900.0,"San Antonio, Texas, United States",2020,Mercedes Sprinter,16056,4WD,Lien,Automatic,Diesel,19.0,144.0,7,5,True,True,True,True,True,,True,,True,True,True,,True,True,,True,True,,True,,,,,,True,,True,,True,True,True,True,,,,True,,,True,,True,
44,1993 Ford E-350 Ambulance - 4x4 - Only 20k miles!,27500.0,"Bend, Oregon, United States",1993,Ford E-350,20350,4WD,Clean,Automatic,Diesel,,138.0,6,2,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,,,
45,Adventure Camper Van has it all! - Ready to Travel!,49000.0,"Roanoke Rapids, North Carolina 27870, United States",2016,Ram Promaster,108500,2WD,Clean,Automatic,Gasoline,19.0,159.0,4,3,True,True,True,True,,,,True,True,True,True,,True,,,True,True,True,,,True,,,True,,True,True,True,True,,True,,,,,,,True,,,,
46,2021 Ram Promaster 136 Full Conversion - San Juan Vans,91500.0,"Bayfield, Colorado, United States",2021,Ram Promaster,400,2WD,Clean,Automatic,Gasoline,,136.0,4,2,True,,True,True,True,,,,True,True,True,,True,True,,,True,,True,True,True,,,,True,True,,True,True,True,True,,,,,,,,,,,
47,2017 Sprinter 144 4X4 Custom Build by Oregon Motorcoach Center,165000.0,"29417 Airport Road, Eugene, Oregon 97402, United States",2017,Mercedes Sprinter,12820,4WD,Clean,Automatic,Diesel,,144.0,2,2,True,True,True,True,True,,True,,True,True,True,True,True,True,True,True,True,,True,True,True,,True,,,,,,True,True,True,True,True,True,,True,True,,,,,
48,Introducing the Baja Mobile- A brand new fully converted Mercedes Sprinter 144 4x4,152000.0,"Denver, Colorado, United States",2020,Mercedes Sprinter,700,4WD,Clean,Automatic,Diesel,,144.0,2,2,,,,True,,,True,True,True,True,True,,True,True,,True,True,,True,True,True,,,,,,,,True,,True,,True,True,,True,,,,,,
49,"2008 Sprinter 2500 170Ext: 100% Custom, Full Bath!",56000.0,"San Diego, California, United States",2008,Dodge/Mercedes Sprinter,289000,2WD,Clean,Automatic,Diesel,19.0,170.0,2,2,True,,,,,,,,True,True,True,,True,True,,,True,,True,True,,,,True,True,,True,,True,,,,,,,,,True,,,,
0,2017 Mercedes Sprinter 4x4 170WB,105000.0,"Hamilton, Alabama, United States",2017,Mercedes Sprinter,76000,4WD,Lien,Automatic,Diesel,18.0,170.0,2,4,True,True,,True,True,,,,True,True,True,,True,True,,,True,,True,,True,,,,True,True,,True,True,,,,,True,,,,True,,,,
1,Freightliner Sprinter Crew 4x4,105000.0,"Bellingham, Washington, United States",2020,Freightliner Sprinter,6000,4WD,Clean,Automatic,Diesel,,144.0,5,4,True,True,True,True,True,,,,,,True,True,,,,,,,,,True,,,,,,,,,,True,,,True,,,,,,,,
2,2015 4x4 Mercedes Sprinter 2500,159000.0,"Maupin, Oregon, United States",2015,Mercedes Sprinter 2500 4x4,89000,4WD,Clean,Automatic,Diesel,15.0,144.0,2,2,True,,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,,,,,True,,,
3,"(SALE PENDING) 2016 Mercedes Sprinter 144 4x4 | Seats 3, Sleeps 3",95000.0,"Encinitas, California, United States",2016,2016 Mercedes Sprinter Van 144 4x4,51000,4WD,Clean,Automatic,Diesel,,144.0,3,3,True,True,True,True,True,True,True,True,,,True,,True,True,,,True,,True,True,True,,,,True,True,,,True,,True,,,True,,,,,,,,
4,Ready for ski season! Sprinter 170,49995.0,"Jacksonville, Florida, United States",2013,Mercedes sprinter 3500 170,155000,2WD,Clean,Automatic,Diesel,,170.0,2,2,,,,,,,,True,True,True,,,True,True,,,,,,,True,,,,,True,,,,,True,,,,,,,True,,,,
5,Van Life Chicago 2021 Ram Promaster - 8020 Build,94900.0,"3240 West Lake Avenue, Glenview, Illinois 60026, United States",2021,Ram Promaster 2500,18200,2WD,Clean,Automatic,Gasoline,,159.0,4,2,True,,,True,True,,,,True,True,True,True,True,True,,,True,,True,True,True,,,,True,True,True,True,True,,True,,,,,,,,,,,
6,Ram Promaster Camper (finance half),77500.0,"Chattanooga, Tennessee, United States",2019,Ram Promaster,24780,2WD,Clean,Automatic,Gasoline,18.0,159.0,2,2,True,True,,True,True,,True,True,True,True,True,,True,True,,,True,True,True,True,,,,,True,True,,,True,,True,,,,,,,True,,,,
7,2016 Ford 350 Transit Van,32000.0,"San Marcos, California, United States",2016,Ford Transit Van,89300,Other,Missing,Automatic,Gasoline,,,2,2,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
8,2007 Freightliner Sprinter,35000.0,"7675 Tega Cay Drive, Tega Cay, South Carolina 29708, United States",2007,Freightliner Sprinter,117000,2WD,Clean,Automatic,Diesel,,144.0,2,3,,,,,,,,True,True,True,,,True,True,,,True,True,,,True,,,,,True,,,True,,True,,,True,,True,,True,,,,
9,MERCEDES BENZ 2017 144WB SPRINTER VAN CAMPER,92000.0,"Costa Mesa, California, United States",2017,Mercedes-Benz Sprinter 2500,92750,2WD,Clean,Automatic,Diesel,,144.0,2,2,True,,True,True,True,,,,,True,True,True,True,True,True,,True,,,,,,,,True,,,,True,True,True,,,True,,,,,,,,
10,2015 Promaster EcoDiesel FULL BUILD w/ SHOWER,72500.0,"Durango, Colorado, United States",2015,Dodge Promaster 3500,168000,2WD,Clean,Automatic,Diesel,19.0,159.0,2,2,True,True,True,True,True,True,True,True,True,,True,True,True,True,,True,True,,True,,True,True,,True,,True,,True,True,True,True,,,True,,True,True,True,,,,
11,Very Rare Sprinter 3500 4x4 Dually 2 ton Extended High Top sleeps 5,225000.0,"Encinitas, California, United States",2017,2017/2018 Sprinter 3500 4x4 Dually 2 ton Extended High Top,49500,4WD,Clean,Automatic,Diesel,13.0,170.0,2,5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,True,True,,True,True,,True,True,True,,,,
12,MTERRA Modern Camper Van,132500.0,"Cumming, Georgia, United States",2019,Ford Transit,12009,2WD,Clean,Automatic,Gasoline,,,2,2,True,True,,True,,,True,,True,True,True,,True,True,,,True,,True,True,True,,,,,,True,,True,,,True,,,,,,,,,,
13,Badger - A Cozy Promaster City Van Conversion,33998.0,"Boston, Massachusetts, United States",2016,Ram Promaster City,54000,2WD,Clean,Automatic,Gasoline,24.0,,2,2,True,,True,,,,,True,True,True,True,,True,True,,,True,,True,,,,True,,,,,,,,True,,,,,,,True,,,True,
14,2018 Mercedes Benz Sprinter 3500 170 EXT,113500.0,"Chicago, Illinois, United States",2018,Mercedes Benz Winnebago ERA 70M,20000,2WD,Clean,Automatic,Diesel,,170.0,4,2,True,True,True,True,True,,True,True,True,True,True,,True,True,,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,,True,True,,True,,
15,Joyride: Mercedes-Benz Sprinter Van 144 Wheel Base High Roof Custom Build,103999.0,"Newport Beach, California 92663, United States",2020,Mercedes Sprinter Van,12000,2WD,Clean,Automatic,Diesel,19.0,144.0,2,2,True,True,True,True,,True,True,,True,,True,,True,True,,,True,,True,True,,,,,,,,,True,,True,,,,,,,,,,,
16,Ready for the Road,99995.0,"Santa Barbara, California, United States",2015,Mercedes Benz 2015 3500 170 WB High Roof,45000,2WD,Clean,Automatic,Diesel,22.0,170.0,8,2,True,True,True,True,True,,,True,True,True,True,True,True,True,,,True,,,True,True,True,,True,True,True,True,True,True,True,True,True,,,True,,True,,True,,,
17,Beautiful Ford Transit Camper Van with 4 x 100 Solar and Roof Mounted AC,35000.0,"Cape Coral, Florida, United States",2016,Ford Transit,99000,2WD,Clean,Automatic,Gasoline,,,2,2,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,,,True,,,,,,,True,,True,,True,,,True,,,,,,,,
18,2019 Ram ProMaster 1500 with Professional Conversion,54500.0,"Baltimore, Maryland, United States",2019,2019 Ram ProMaster 1500,72000,2WD,Lien,Automatic,Gasoline,,,2,2,True,True,True,True,,,,True,True,True,True,,True,,,True,True,,,True,,,,,,,,,True,,True,,,,,,,,,,,
19,2012 Mercedes Sprinter 170 2WD Black,52000.0,"Yonkers, New York, United States",2012,2012 Mercedes Sprinter 170 2WD,63000,2WD,Clean,Automatic,Diesel,20.0,170.0,3,3,True,True,True,True,True,,True,,True,True,True,,True,True,,True,True,,True,,True,,,,,,True,,True,,True,,True,True,,,,,,,True,
20,Adventure School Bus Conversion,79000.0,"San Luis Obispo, California, United States",2000,Bluebird TC-2000,185758,2WD,Clean,Automatic,Diesel,,,4,4,,,True,True,,True,,,True,True,True,True,True,True,,,True,True,True,True,,True,,True,True,True,True,True,True,,,,,,,,,,,,,
21,Top of the line Sprinter 4x4,195000.0,"Seattle, Washington, United States",2018,"Mercedes Sprinter 2500, 144WB, High Roof, 4x4",25000,4WD,Clean,Automatic,Diesel,,144.0,2,2,True,True,True,True,True,,True,,True,True,True,,True,True,,True,True,,True,True,True,,True,,True,True,True,True,True,,True,,,True,,True,,True,True,,,
22,Professional Compact Van Builds!,36000.0,"1455 West Cedar Avenue, Denver, Colorado 80223, United States",2012,Ford Econoline Extended,130000,2WD,Clean,Automatic,Gasoline,,,2,2,True,,True,True,True,,,True,True,,True,True,True,True,,True,True,,,True,,,,,,,,,True,,,,,True,,,,,,,,
23,Chevy Express/GMC Savana 1500 AWD Lifted and Off-Road Ready,24300.0,"Philadelphia, Pennsylvania, United States",2011,GMC Savana 1500 AWD,138000,AWD,Clean,Automatic,Gasoline,13.0,,2,2,True,,True,True,True,,True,,,,,True,,,,True,,,,,,,,,,,,,,,,,True,True,,True,,,,,,
24,2020 Ford Transit 250 ext high roof,110000.0,"Sauls Real Estate Marketing, 33664 Discovery Dr, Dana Point, California 92629, United States",2020,Ford transit,28000,2WD,Clean,Automatic,Gasoline,16.0,148.0,2,2,True,True,True,True,True,True,True,,True,True,True,True,True,True,,,True,,True,True,True,,True,,,,,,True,,True,,,,,,True,,,,,
25,Ford Transit AWD high-roof conversion,115000.0,"Santa Cruz, California 95060, United States",2020,Ford Transit,15000,AWD,Clean,Automatic,Gasoline,,,2,2,True,True,True,True,,True,True,,True,True,True,,True,True,,True,True,,True,True,,,,,True,True,,,True,True,True,,True,True,,True,,True,,,,
26,"Adventure Camper Van | Newly Converted Ram Promaster High Roof 159"" WB",65000.0,"Virginia, United States",2016,Ram Promaster 2500,65000,2WD,Clean,Automatic,Gasoline,,159.0,2,2,True,,True,True,True,,True,True,True,True,True,,True,True,,,True,,,True,,,True,,,True,True,,True,,True,,True,,,,,True,True,,,
27,SOLD New Completely Off Grid Build Ready October 2021,80000.0,"Sacramento, California, United States",2020,2020 Ram Promaster 2500,15000,2WD,Clean,Automatic,Gasoline,19.0,159.0,2,3,,,True,True,True,,,,True,True,True,,True,True,,,True,,True,True,,,,,True,True,True,True,True,,True,,,,,,,,,,,
28,"2011 Mercedes-Benz Sprinter 2500 Camper Van, 93k miles",72000.0,"Portland, Oregon, United States",2011,"Mercedes-Benz Sprinter 144"" 2500",93000,2WD,Clean,Automatic,Diesel,18.0,144.0,2,2,True,True,True,,True,,True,True,True,True,True,,True,True,,True,True,,True,True,True,True,,,True,True,True,,True,True,True,True,,True,True,,,,,True,,
29,Balboa Motorhome Camper Van,33000.0,"Encinitas, California, United States",1973,1973 Dodge Sportsman B-300 Balboa Motorhome,103200,2WD,Clean,Automatic,Gasoline,12.0,,2,4,,True,,,,,True,,True,,,,True,,,True,True,,True,,,True,,True,True,True,True,True,True,,,,,,,True,,True,,,,
30,Custom MB Sprinter Luxury Van,127500.0,"Richmond, Texas 77406, United States",2017,Mercedes Benz 2500 diesel 170 wheelbase,37000,2WD,Lien,Automatic,Diesel,,170.0,2,2,True,True,True,True,True,,,,True,True,True,,True,True,,,True,,True,True,,,,True,,True,True,True,True,,True,,,,,,,,,,,
31,Sprinter Conversion Van 3500 Dually 170 Solivagant by Team Adventure USA,219900.0,"North Liberty, Iowa 52317, United States",2021,3500 Mercedes Sprinter 170 Dually fully converted by Team Adventure USA,89,2WD,Clean,Automatic,Diesel,20.0,170.0,2,2,True,True,True,True,,True,True,,True,True,,,True,True,True,True,True,,True,True,True,,,True,,True,True,True,True,True,True,True,True,,True,,,,True,,,
32,2001 Chevy Express Camper Van,48000.0,"San Diego, California, United States",2001,Chevy Express,166000,2WD,Clean,Automatic,Gasoline,,,2,2,True,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,,,,True,True,True,True,True,,True,,,True,,True,,True,,,,
33,2019 Ram Promaster 159 WB High Roof,69000.0,"San Diego, California, United States",2019,Ram Promaster,38500,2WD,Clean,Automatic,Gasoline,17.0,159.0,2,2,True,True,True,True,True,True,,True,True,True,True,True,True,True,,,True,,True,,True,True,True,,,True,,,,,True,,,,,,,True,,,,
34,2018 Ford Transit Mid Roof 250 148WB,65000.0,"Evergreen, Colorado, United States",2018,Ford Transit,31000,2WD,Clean,Automatic,Gasoline,,148.0,2,3,True,True,True,True,,,,,,,True,True,True,,,,True,,,,True,,,,,,,,True,True,True,,,True,,,,,,,,
35,2017 Mercedes 2500 Sprinter 4x4 (Delivered New in Aug 2018),109500.0,"Hermosa Beach, California, United States",2017,Mercedes Sprinter,21000,4WD,Clean,Automatic,Diesel,,144.0,3,3,True,,True,True,True,,True,,True,True,True,True,,,,True,True,True,,,True,,True,,True,,,,,True,True,,True,True,,True,,,True,,True,
36,Modern Ram Promaster 3500. BRAND NEW ENGINE.,38500.0,"Westerville, Ohio, United States",2014,Ram Promaster 3500,114300,2WD,Clean,Automatic,Gasoline,,159.0,2,2,True,True,True,True,True,,True,True,,True,True,,True,True,,,True,,True,True,,,True,,,True,,,True,,True,,,,,,,,,,,
37,New Offgrid 2021 ProMaster,89900.0,"Eureka Springs, Arkansas 72632, United States",2021,2021 Dodge Promaster,1000,2WD,Clean,Automatic,Gasoline,16.0,,2,3,True,True,True,True,True,True,True,True,,True,True,True,True,True,,,True,,True,True,,,,,,,True,,True,True,True,,,,,,,,,,,
38,2020 Sprinter 2500 Diesel 170,78000.0,"Southport-Supply Road Southeast, Southport, North Carolina 28461, United States",2020,Mercedes Benz Sprinter,8100,2WD,Clean,Automatic,Diesel,22.0,170.0,2,2,True,True,True,True,True,True,,True,True,True,True,,True,True,,,True,,True,True,True,,True,True,True,,True,True,True,,True,,,,,,,,,,,
39,NEW BUILD Ford Transit van conversion,78500.0,"San Diego, California, United States",2018,2018 ford transit 150 medium roof,65000,2WD,Clean,Automatic,Gasoline,,,2,2,True,True,True,True,,True,,,True,True,True,,True,True,,,True,,True,True,,,,,True,True,True,True,True,,True,,,,,,,True,,,,
40,Fully converted Skoolie,72000.0,United States,1996,1996 Thomas International 3800 DT466,115000,2WD,Clean,Automatic,Diesel,,,4,5,,True,,True,True,,True,,True,True,True,,True,True,,True,True,,True,True,True,True,,True,True,True,True,True,True,,,,,,True,,True,True,,,True,
41,4X4 Off-Grid 144 SOLD!,169000.0,"38365 Innovation Court, Murrieta, California 92563, United States",2020,Mercedes Sprinter 144 4x4 Crew,7087,4WD,Clean,Automatic,Diesel,,144.0,4,3,True,True,True,True,True,,True,,True,True,True,True,True,True,,,True,True,True,True,True,,,,True,,True,True,True,True,True,True,True,True,,,,,True,,True,
42,Simplistic Walnut and White Sprinter Van,47999.0,"Lander, Wyoming, United States",2014,Mercedes Sprinter,100500,2WD,Lien,Automatic,Diesel,21.0,144.0,2,2,True,True,True,True,,,,,,,True,,,,,,True,,,,,True,,,,True,,,,,True,,,,,,,True,,,,
43,2016 Off-Grid Sprinter Van Camper Van FOR SALE,85000.0,"Winnipeg, Manitoba, Canada",2016,Mercedes Sprinter 2500 170WB,74000,2WD,Clean,Automatic,Diesel,18.0,170.0,1,2,True,,True,True,True,,True,True,True,True,True,True,True,True,,True,True,,True,True,True,,,True,,True,True,True,True,,True,,,True,,True,,,True,,,
44,2019 Promaster 3500 extended with Full Bath | Off-Grid | Custom Van,95000.0,"Sacramento, California, United States",2019,Dodge Promaster 3500,23900,2WD,Clean,Automatic,Gasoline,,,2,4,,True,True,True,True,,,True,True,True,True,,True,True,,True,True,,True,True,,,True,True,True,True,True,True,True,,True,,,,,,,,,,,
45,THE CUSTOM by Drifter Vans,109500.0,"24175 Telegraph Road, Southfield, Michigan 48033, United States",2021,"Sprinter, Promaster or Transit",,4WD,Clean,Automatic,Gasoline,,,2,2,,,,True,,,,True,True,True,True,True,True,True,,True,True,,True,True,True,,,,True,True,True,True,True,True,,,,,True,,,True,,,,
46,Fully Loaded Luxury 4x4 Sprinter ESV-1 built by Earth Ship Vans,270000.0,"Denver, Colorado, United States",2019,Mercedes Sprinter 3500 4x4,1000,4WD,Lien,Automatic,Diesel,18.0,170.0,2,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,,True,,,True,True,,
47,2019 4X4 Diesel 5 seat Moto van,87000.0,"West Valley City, Utah, United States",2019,Mercedes Sprinter,34727,4WD,Clean,Automatic,Diesel,,,5,2,True,,True,True,True,,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,True,,,True,,,,,
48,Recently Reduced!! Low Mileage for Off-Grid adventures!,55000.0,"Robert Lee, Texas, United States",2019,"Dodge Ram Promaster, 2019",14687,2WD,Clean,Automatic,Gasoline,18.0,159.0,2,2,True,True,True,True,True,,,True,True,,True,,True,True,,True,True,,,True,,,,,,,,,True,,,,,,,,,,,,,
49,GMC Savana 3500 | Architect-Converted Short Skoolie | Fully Equipped for Off-Grid Living,47500.0,"California, United States",2009,GMC Savana G3500,180000,2WD,Clean,Automatic,Gasoline,12.0,,2,3,,True,True,,True,,,,True,True,True,,True,True,,,,,True,True,,,,,True,,True,,True,True,,,,,,,,True,,,,
0,FORD TRANSIT CAMPER FOR 4,84000.0,"Toronto, Ontario, Canada",2020,FORD TRANSIT,16000,2WD,Clean,Automatic,Gasoline,,,4,4,True,,True,True,True,True,,True,True,True,True,,True,True,,,True,,,True,True,,,,True,True,True,True,True,,,,,,,,,,True,,True,
1,"(SOLD) Mint 2017 Sprinter 2500, 144 Crew van- ready to build!",46500.0,"Jamul, California 91935, United States",2017,Mercedes-Benz Sprinter,21620,2WD,Clean,Automatic,Diesel,22.0,144.0,5,6,True,True,,True,True,,True,,,,,,,,,True,True,,,,,,,,,,,,,,True,,,True,,,,,,,,
2,Leo - The home on wheels by Mybushotel,95000.0,"Las Vegas, Nevada, États-Unis",2021,Dodge ram promaster 2500 high roof,,2WD,Clean,Automatic,Gasoline,26.0,159.0,2,2,True,True,True,True,True,True,,True,True,True,True,,True,True,,,True,,True,True,,,,,True,,True,True,True,,True,True,,,True,,True,,,,,
3,Basic Build Awaiting Your Unique Finishes,25000.0,"Bailey, Colorado 80421, United States",2007,2007 Chevy Express Van,59000,2WD,Clean,Automatic,Gasoline,,,2,2,True,,True,True,True,,True,,True,,True,,,True,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,
4,Vannah White,109000.0,"Las Vegas, Nevada, United States",2019,Mercedes Sprinter,5450,2WD,Clean,Automatic,Gasoline,14.0,,2,3,True,True,,True,,,True,True,True,True,,,True,True,,,True,,,True,True,,,True,True,,True,True,True,True,True,,True,,,,,,,,,
5,4x4 Adventure Van,111000.0,"Sedona, Arizona, United States",2018,2018 Ford Transit 250,45000,4WD,Clean,Automatic,Gasoline,14.0,148.0,2,2,True,True,True,True,True,True,True,,True,True,True,True,True,True,,True,True,,True,True,,,,,True,True,True,,True,,True,,True,True,,True,,,,,,
6,Sara - The home on wheels by Mybushotel,90000.0,"Las Vegas, Nevada, États-Unis",2021,Dodge ram promaster 2500 high roof,,2WD,Clean,Automatic,Gasoline,25.0,,2,3,True,True,True,True,True,True,,True,True,True,True,,True,True,,,True,,True,True,,,,True,True,,True,True,True,True,True,,,,True,,,,,,,
7,2020 transit connect xlt passenger wagon campervan,51000.0,"Denver, Colorado, United States",2020,Ford Transit Connect,11000,2WD,Lien,Automatic,Gasoline,27.0,120.0,2,2,True,,True,True,True,,,,True,True,True,,,True,,,True,,,,,,,,,,,,,True,True,,,,,,,,,True,,
8,**Updated Pricing - Fully Converted 2020 Mercedes Sprinter 144 4x4,178000.0,"Denver, Colorado, United States",2020,Mercedes Sprinter,4900,4WD,Clean,Automatic,Diesel,,144.0,4,3,True,,,True,True,,True,,True,True,True,True,True,True,,True,True,,True,True,True,,,,True,,,True,True,,True,True,True,True,,True,,,,,,
9,"Brand New 2020 Ford Transit 250, 148 Wheelbase, Medium Roof Conversion",83500.0,"Saratoga Springs, New York, United States",2020,Ford Transit 250,194,2WD,Lien,Automatic,Gasoline,,148.0,2,2,True,,True,True,True,,,True,True,True,True,True,True,True,,True,True,,,True,True,,,,,True,True,,True,,True,,,,,,,True,,,,
10,ONE OF A KIND OFF-GRID SPRINTER VAN,99000.0,"Vermont, United States",2017,Mercedes-Benz Sprinter,20000,2WD,Clean,Automatic,Diesel,,-144.0,2,2,True,,True,True,True,,True,,True,True,True,True,True,True,,True,True,,True,True,True,,,,True,True,True,True,True,True,True,,True,True,,True,,True,,,,
11,Strata Rigs Ram Promaster Build Out,95000.0,"Ketchum, Idaho, United States",2019,Ram Promaster,38000,2WD,Clean,Automatic,Gasoline,19.0,136.0,2,2,True,True,True,True,True,,True,,,True,True,,True,True,,,True,,True,True,True,,True,,,True,,,True,,True,,,True,,,,True,,,,
12,"2019 Ram Promaster 136"" WB High Roof - Professional Conversion, Odometer under 600 miles",99500.0,"Clayton, Georgia, United States",2019,Ram ProMaster,571,2WD,Clean,Automatic,Gasoline,25.0,136.0,2,2,True,True,True,True,True,True,True,,True,True,True,True,True,True,,,,,True,True,True,,True,,True,,True,True,True,True,True,,,,,,,,,,,
13,2019 Ram Promaster 2500 High Roof 159WB,65000.0,"Salt Lake City, Utah, United States",2019,2019 Ram Promaster 2500,36000,2WD,Clean,Automatic,Gasoline,,159.0,2,2,True,True,True,True,True,,True,,True,,True,,,True,,True,True,,,,,,,,,,,,,,True,,True,,,,,,,,,
14,"SOLD - Low Mileage 2015 Ram Promaster 3500 159 EXT - Adventure ready! Full shower, heat, solar, ski and bike storage and more!",81200.0,"Durango, Colorado, United States",2015,2015 Ram Promaster 3500 159 EXT,51000,2WD,Clean,Automatic,Gasoline,15.0,159.0,2,2,True,,True,True,True,,,,True,True,True,,True,True,,,True,True,True,True,True,True,True,True,,True,True,True,True,,,True,,True,,,,True,,,,
