,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Built-in),Grey / Black Water Tanks,Offroad Tires,Refrigerator,Roof Fan,Sink,Solar,Stove,USB port,Water Pump,Bike Rack,Heater / Furnace,Microwave,Shower (Indoor),Toilet,Water Heater,Awning,Fresh Water Tank (Portable),Heated seats,Inverter,Offroad Lights,Roof Rack,Security System,Shower (Outdoor),Suspension Mods,Tow Winch,Towing Package,Cooler,TV,Fuel Efficiency (Highway),Generator,Oven,Propane,Child Seat,Skylight,Handicap / Wheelchair Conversion
26,Katie - The home on wheels by Mybushotel,120000.0,"1716 Weeping Willow Lane, Las Vegas, Nevada 89104, États-Unis",2021,Dodge ram promaster 3500 high roof extended,,2WD,Clean,Automatic,Gasoline,,2,2,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,,True,,True,,,,True,,25.0,,True,,,,
27,Beautifully Set Up Simple Camper Van with Extras!,40995.0,"Pittsburg, California, United States",2016,2016 Ram Promaster 1500 Low Roof 136in WB,48151,2WD,Clean,Automatic,Gasoline,136.0,2,2,True,,,True,,True,,,,,,True,,True,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,
28,2019 Ford 148 Regular by OZK Vans,48723.0,"Fayetteville, Arkansas, United States",2019,Ford 148 Regular,9000,2WD,Clean,Automatic,Gasoline,,2,4,True,True,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
29,2019 4x4 2500 Mercedes Sprinter - Luxury Apartment on Wheels,140000.0,"New York City, New York, United States",2019,Mercedes Sprinter 2500 4x4,17000,4WD,Clean,Automatic,Diesel,170.0,2,2,True,True,True,True,True,,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,True,,True,,True,,,True,True,,,True,True,,22.0,,True,,,,
30,"MB SPRINTER 3500 HR WB 144"" CAMPER CONVERSION",30000.0,"Fort Lauderdale, Florida 33315, United States",2012,MB SPRINTER 3500,227000,2WD,Clean,Automatic,Diesel,144.0,2,2,True,,,True,,True,,True,,,True,True,True,True,True,,True,,,,,,,,,,True,,True,,,,,,,,18.0,,,True,,True,
31,Custom Micro Camper ! Fully Loaded ! Priced to Sell,29500.0,"Petoskey, Michigan, United States",2012,2012 Ford Transit Connect,56328,2WD,Lien,Automatic,Gasoline,,2,2,True,,True,,,True,,,True,,True,True,True,True,True,True,True,,,,,True,,,True,,True,,,,True,,,True,,,27.0,,,,,,
32,"Modern Luxury 4-Season Off-Grid Sprinter 170"" High-Top: HUGE Garage & Kitchen",75000.0,"Robbinsville Township, New Jersey, United States",2010,Freightliner Sprinter 2500,173000,2WD,Clean,Automatic,Diesel,170.0,2,3,True,,True,True,True,True,,,True,True,True,True,True,True,True,True,,,True,True,,True,,,True,,True,,,True,True,,,,,,18.0,,,True,,,
33,HIGH roof POP-top low-miles 2017 ProMaster,68000.0,"San Diego, California 92104, United States",2017,2017 Ram ProMaster 2500,37500,2WD,Clean,Automatic,Gasoline,136.0,6,6,True,,True,True,True,True,True,,,True,True,True,,,,True,,,,,,,,,,,,True,,,,,,,True,,16.0,,,,,,
34,SPRINTER 4x4 2020 Build 2021,170499.0,"San Francisco, California, United States",2019,Mercedes Sprinter,4176,4WD,Clean,Automatic,Diesel,,5,4,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,,True,,True,True,True,,True,True,True,,,,22.0,,,,True,,
35,2020 Ram Promaster High Top,75000.0,"Phoenix, Arizona, United States",2020,Dodge Promaster 2500,26000,2WD,Clean,Automatic,Gasoline,159.0,2,2,True,True,True,True,,True,,True,,,True,True,True,True,True,True,True,,,,,,,,True,,True,,True,,True,,,,True,,,,,True,,,
36,Beautiful Simple Promaster,75000.0,"1455 West Cedar Avenue, Denver, Colorado 80223, United States",2021,2021 Dodge Promaster,500,2WD,Clean,Automatic,Gasoline,,2,2,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,,,,,,,,True,,True,,True,,,,,,,,,,,,,,
37,Outside Van Family Camper,115000.0,"Granville, Ohio, United States",2014,Mercedes Benz,61500,2WD,Clean,Automatic,Diesel,170.0,8,4,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,True,,True,True,,,True,True,True,,True,True,True,,True,True,,True,,True,18.0,,,,,True,
38,1999 VW Winnebago Eurovan - 61k Miles - Low Miles With Custom Modifications,45000.0,"Bellingham, Washington, United States",1999,VW Eurovan,60958,Other,Clean,Automatic,Gasoline,,2,3,,True,True,,,True,,True,True,True,,True,True,,True,,True,,,,,,,True,,,,,True,,,True,,,,,,,,True,,,
39,Loaded 2021 170 Custom 4x4 Sprinter From Launch Vans,149998.0,"Boise, Idaho, United States",2021,Mercedes Benz,12,4WD,Clean,Automatic,Diesel,170.0,2,2,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,True,,True,,,True,True,,True,True,,,,,True,,True,True,True,,,,,,,,
40,2017 MB Sprinter 4x4,90000.0,"Eureka, California, United States",2017,Mercedes Sprinter,70000,4WD,Clean,Automatic,Diesel,144.0,2,0,True,True,True,True,True,True,True,,,True,,True,,,,True,,,True,,,,,True,,True,,True,True,,,,,True,,,16.0,,,,,,
41,2014 Dodge Promaster 3500 ext partial build,32999.0,"Hood River, Oregon, United States",2014,Dodge Promaster 3500 ext,129900,2WD,Clean,Automatic,Gasoline,159.0,4,4,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,
42,1996 E350 Powerstroke Turbo Diesel Extended Club Wagon,32000.0,"Arvada, Colorado, United States",1996,Ford Econoline,256000,2WD,Clean,Automatic,Diesel,,2,2,True,True,True,,True,True,,True,True,True,,True,True,True,,True,True,,,,,,True,,True,,True,True,,,,,True,True,,,18.0,,,,,,
43,Lithium Powered All Season Adventure Van,209000.0,"Charleston, South Carolina, United States",2020,Mercedes Sprinter 4x4,800,4WD,Clean,Automatic,Diesel,144.0,4,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,True,,,True,True,True,True,True,True,True,,True,True,,,,,,,
44,2020 Sprinter 3500EXT,92500.0,"Centerville, Utah, United States",2020,Mercedes Sprinter 3500EXT,10000,2WD,Lien,Automatic,Diesel,170.0,2,2,True,True,True,True,True,True,,,,,,True,,True,,True,,,,,,,,,,,True,,,True,,,,True,,,20.0,,,,,,
45,2006 Earthroamer XV-LT,185000.0,"Idaho Highway 75, Hailey, Idaho 83333, United States",2006,2006 Earthroamer XV-LT #43,120000,4WD,Lien,Automatic,Diesel,,4,4,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,,True,True,,True,,,,,,,True,
46,2021 Mercedes Sprinter 170 4x4 - BRAND NEW,80000.0,"Denver, Colorado, United States",2021,Mercedes Sprinter 170 2500 4x4 High Roof Cargo,1000,4WD,Clean,Automatic,Diesel,170.0,2,0,True,,True,True,True,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,
47,"2020 Ford Transit Luxury Van Conversion Fully Loaded, brand new build! Full Bath, TV, Internet, Full Kitchen, Ambient Lighting!",119000.0,"Seattle, Washington, United States",2020,Ford Transit 2020,15000,2WD,Clean,Automatic,Gasoline,148.0,2,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,,,,True,True,,,,,,,,True,18.0,,,,,,
48,"2020 Ford T-250 AWD (High Roof) - professionally built, custom van perfect for off the grid living.",147500.0,"Park City, Utah, United States",2020,2020 Ford Transit T-250 AWD High Roof,13504,AWD,Clean,Automatic,Gasoline,19.0,2,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,,True,True,True,,True,True,True,,True,,,,,,True,,True,
49,2016 sprinter 4x4 adventure vehicle,109000.0,"Hood River, Oregon, United States",2016,Mercedes Sprinter,112600,4WD,Clean,Automatic,Diesel,144.0,2,3,True,,True,True,True,True,True,True,,True,True,True,True,True,,,True,True,True,,,,,True,True,,True,,True,,True,,True,True,True,,,,,,,,
0,Custom Stealth Camper Van - Solar Powered Tiny Home on Wheels,70000.0,"New Jersey, United States",2019,Ford Transit 250 High Roof Extended Length,42400,2WD,Clean,Automatic,Gasoline,,2,2,True,True,True,True,True,True,True,True,,,True,True,True,True,True,,True,,,True,True,True,True,,True,,True,,True,,,True,,,True,,,,True,,,,
1,2019 4x4 Sprinter Adventure Van,175000.0,"Lafayette, Colorado, United States",2019,Mercedes Sprinter,36000,4WD,Clean,Automatic,Diesel,144.0,4,4,True,True,True,True,True,True,True,,True,,True,True,True,,,,True,,True,,True,,True,True,True,True,True,,,,,,,,,,,,,,,,
2,2014 RAM Promaster- 2021 Conversion,80000.0,"Denver, Colorado, United States",2014,"RAM Promaster 2500 159"" High Roof",94000,2WD,Clean,Automatic,Gasoline,159.0,2,2,True,,True,,True,True,True,,True,,True,True,True,True,True,True,,,,,,,,,True,,,,,,,,,,,,,,True,True,,,
3,Professionally Built Mercedes Benz 144 Adventure Van,90500.0,"Huntington Beach, California, United States",2015,Mercedes Benz,40000,2WD,Clean,Automatic,Diesel,144.0,3,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,True,True,,,True,True,True,True,True,True,,,,True,,,,,,,
4,2021 Dodge Promaster 159”WB,88500.0,"San Diego, California, United States",2021,Dodge Ram Promaster,1000,2WD,Clean,Automatic,Gasoline,159.0,2,2,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,,True,,True,True,True,,True,,True,,,,,,,,,,18.0,,,True,,,
5,2005 Sprinter ROAD READY,34000.0,"Melbourne, Florida, United States",2005,Dodge Sprinter,310000,2WD,Clean,Automatic,Diesel,158.0,2,2,True,,True,,True,,,True,True,True,True,True,True,True,True,True,True,,True,,,True,True,,,,True,True,,,True,,,,,,24.0,,,True,,,
6,Self build that needs a little more love!,60000.0,"Gibsonburg, Ohio, United States",2017,Ram ProMaster 1500 118’ WB,38000,2WD,Clean,Automatic,Gasoline,118.0,2,2,True,,True,True,True,,,True,,,True,,True,True,,,True,,,,,,,,,,True,,,,,,,,,,16.0,,,,,,
7,2021 Mercedes Sprinter Campervan,76000.0,"Asheville, North Carolina, United States",2021,Mercedes Sprinter,655,2WD,Clean,Automatic,Gasoline,144.0,2,2,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,,,,True,,,True,,True,,,,True,,,True,True,,20.0,,,,,,
8,The Ultimate Family Van!,98000.0,"Williston, North Dakota, United States",2020,2020 Ford Transit High Roof Extended,32400,2WD,Clean,Automatic,Gasoline,,4,4,True,True,True,True,True,True,True,True,True,,True,True,True,True,,True,True,,,,,True,True,,,,True,,,,True,,,,,,,,,,,,
9,Cabin on wheels skoolie,65000.0,"14 Lacy Lane, Clarksville, Tennessee 37043, United States",2006,Thomas saf t liner,66000,4WD,Clean,Automatic,Diesel,,1,3,,True,,,,,,True,True,,True,,True,,True,True,True,,True,,True,True,True,,True,,,,,,,,,,,True,,True,True,True,,,
10,RAM PROMASTER 2500 HIGH TOP,96876.0,"Rochester, New York, United States",2021,2021 Dodge Ram ProMaster,20,2WD,Clean,Automatic,Gasoline,,2,2,True,,,True,,,,,,,True,True,True,True,,True,,,,,,True,,,True,,True,,,,,,,,True,,,,,,,,
11,"Flarespace Transit 148"" Adventure Van",89999.0,"Evergreen, Colorado 80439, United States",2020,Ford Transit,12000,AWD,Clean,Automatic,Gasoline,148.0,0,2,True,,True,True,,True,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,
12,2018 Metris Cargo Van 2019 Custom Conversion (Keystone Coach Works),90000.0,"San Francisco, California 94112, United States",2018,2018 Mercedes-Benz Metris Cargo Van,6980,2WD,Clean,Automatic,Gasoline,126.0,5,4,True,True,True,True,True,True,,True,,,True,,True,True,True,True,True,,,,,,,,,,True,,True,,,,,True,,,,,,True,,,
13,"Vansmith- Ram Promaster 136"" Conversion",75000.0,"Boulder, Colorado, United States",2021,Ram Promaster 1500,50,2WD,Lien,Automatic,Gasoline,136.0,2,2,True,,True,True,,,,,,,True,True,True,True,,True,True,,,,,True,,,True,,True,,,,,True,,,,,,,,,,,
14,****LET'S CUT TO THE CHASE**** WHAT WOULD YOU PAY FOR THIS VAN TODAY?,199000.0,"Pomona, New York",2019,Mercedes Sprinter 2019 144 4x4,23000,4WD,Clean,Automatic,Diesel,144.0,2,2,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,True,True,,,True,True,True,,,True,,True,,True,,,,,,,,,,,,
15,RAM Promaster Camper Van,72995.0,"Bishop, California, United States",2018,RAM Promaster,27000,2WD,Clean,Automatic,Gasoline,136.0,2,2,True,,True,True,True,True,,True,True,,True,True,True,True,True,True,True,,,,,True,,,True,,True,,,,,,,,,,,,,True,,,
16,Boondocker’s Dream 2500 Promaster High Roof w/ Low Miles,79900.0,"San Carlos, California, United States",2019,"2019 Ram Promaster 2500 High Roof 159"" WB",18900,2WD,Clean,Automatic,Gasoline,159.0,2,2,True,,True,True,True,True,,,,,True,True,True,True,,True,True,,,,,True,,,True,,True,,,,,,,,,,,,,,,,
17,2016 Sprinter 170,72000.0,"10 Via Vecino, Santa Fe, New Mexico 87506, United States",2016,Mercedes Sprinter Van 170,46000,2WD,Clean,Automatic,Diesel,170.0,2,2,True,True,True,,,True,,,True,,True,True,True,True,True,,,,True,,,,,True,True,,,,,,True,,,,True,,20.0,,,,,,
18,MERCEDES-BENZ 2500 4X4 VANDEMIC BADLAND BUILD,164995.0,"Ohio, United States",2021,MERCEDES-BENZ SPRINTER,600,4WD,Clean,Automatic,Diesel,144.0,2,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,,,,,,True,,,,,,,,
19,Ultimate Mobile Office / Touring Sprinter 170 4X4,199000.0,"Carlsbad, California, United States",2019,Mercedes Sprinter,21000,4WD,Lien,Automatic,Diesel,170.0,4,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,,True,True,,True,,,,,True,True,,,,True,,,
20,Converted Sprinter Van,42000.0,"Newbury Park, Thousand Oaks, California 91320, United States",2015,Mercedes Benz Sprinter,108000,2WD,Lien,Automatic,Diesel,144.0,2,1,True,,True,True,True,,,,True,,True,True,True,True,True,True,True,,,,,,,,True,,True,,,,,,,,,,,,,True,,,
21,Cozy Cabin On The Go - 2020 Ram Promaster,70000.0,"Massachusetts, United States",2020,Ram Promaster,22000,2WD,Lien,Automatic,Gasoline,159.0,2,2,True,True,True,True,True,True,,,,True,True,True,True,True,True,True,,,True,,,,,,True,,True,,,,,,,,,,17.0,,,True,,,
22,Affordable van needs new home!!!,44999.0,"Colorado Springs, Colorado, United States",2015,Ram Promaster,91200,2WD,Clean,Automatic,Diesel,136.0,2,2,True,True,True,True,True,True,,,True,,True,True,True,True,True,,True,,,,,,,,True,,True,,,,,,,,,,21.0,,,True,,,
23,2019 Mercedes Sprinter 2500- 170 (ready to build!),37900.0,"Sacramento, California, United States",2019,Mercedes Sprinter 2500,35000,2WD,Salvage,Automatic,Gasoline,170.0,2,0,True,True,True,True,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Fully Converted Custom 2017 Ram Promaster 2500 High-Roof Van,69500.0,"Chattanooga, Tennessee, United States",2017,Ram Promaster 2500,67570,2WD,Clean,Automatic,Gasoline,159.0,2,2,True,,True,,,True,,,True,,True,True,True,True,True,,True,,,,,True,,,True,,True,,,,,,,,,,,,,,,,
25,Mercedes Sprinter Moto Van,65000.0,"San Diego, California, United States",2013,Mercedes Sprinter,150000,2WD,Clean,Automatic,Diesel,144.0,4,4,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,,,,,,,True,True,,True,True,,,,,,20.0,,,,True,True,
26,Beautiful 2021 Van just waiting for an artistic touch!,85999.0,"Nashville, Tennessee, United States",2021,2021 Dodge Ram Promaster,9065,2WD,Lien,Automatic,Gasoline,159.0,2,2,True,True,True,True,,True,True,True,True,,True,,True,True,True,True,True,,,,True,True,True,,,,True,,,,True,,,,True,,16.0,,,,,,
27,For Sale by Original Owner,19500.0,"Santa Barbara, California, United States",2005,2005 118” Sprinter Van (diesel),328000,2WD,Clean,Automatic,Diesel,118.0,4,2,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,True,,
28,Professionally Built 4 Season Adventure Van,140000.0,"Boulder, Colorado 80301, United States",2020,AWD Ford Transit F-350,9000,AWD,Clean,Automatic,Gasoline,148.0,2,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,,True,True,True,,True,True,True,True,,,,,,,,,
29,PENDING - Ford Transit 350 Adventure Van,77995.0,"Phoenix, Arizona 85028, United States",2017,Ford Transit 350,30000,2WD,Clean,Automatic,Gasoline,148.0,2,3,True,True,True,True,True,True,,,,True,True,True,,,True,,,,True,,,True,True,,True,,True,,,True,True,,,True,,,18.0,,,,True,,
30,Zephyr Van - Sidewinder,205000.0,"Coeur d'Alene, Idaho, United States",2020,Mercedes Sprinter 2500 4x4,20,4WD,Clean,Automatic,Diesel,144.0,2,2,True,True,True,True,,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,,True,,,,True,True,True,,True,True,,True,,,,,,,,,
31,Ultra-Modern Off-Grid 159WB Stealth Promaster,64950.0,"Salt Lake City, Utah, United States",2018,"2018 Ram Promaster 2500 159"" WB",29490,2WD,Lien,Automatic,Gasoline,159.0,2,3,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,True,,True,True,,,,,,True,,,True,True,,,
32,2021 ProMaster (High Top/159) with Brand New Build,78000.0,"Millsboro, Delaware, United States",2021,Dodge ProMaster,4500,2WD,Clean,Automatic,Gasoline,159.0,5,4,True,,True,True,,True,,,,True,True,True,True,True,,True,,,,,,,,,True,,True,,,,,,,True,,,,,,,,,
33,Professionally Built 2016 Ram High Roof 159” Promaster,80000.0,"Boise, Idaho, United States",2016,Ram Promaster,74087,2WD,Clean,Automatic,Diesel,,3,2,True,True,True,True,True,True,True,True,True,,True,True,True,True,,True,True,,True,,,True,True,,True,,True,True,,,True,True,,,,,,True,,True,True,,
34,2011 Mercedes Sprinter 170,72000.0,"Trinidad, California, United States",2011,Mercedes Sprinter,93000,2WD,Clean,Automatic,Diesel,170.0,3,2,True,,True,True,True,True,,,True,True,True,True,True,True,True,True,True,,True,,,,,,True,,True,,True,,,,,,True,,18.0,,True,True,,,
35,Dodge RAM Promaster 2500 with Rustic conversion,54900.0,"Santa Cruz, California, United States",2018,Dodge RAM Promaster 2500,43000,2WD,Clean,Automatic,Gasoline,118.0,3,3,True,True,True,True,,True,True,True,,,True,,True,True,,True,,True,True,True,,True,,,True,,,,,,,,,,True,True,,True,,,,,
36,Go Anywhere with this '21 Transit AWD Premium Build,134000.0,"Bend, Oregon, United States",2021,"2021 Ford Transit 250 AWD 148"" High Roof",600,AWD,Lien,Automatic,Gasoline,148.0,2,3,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,,,,True,,,,True,,True,True,True,True,,True,,,18.0,,,,,,
37,"Mercedes Sprinter Van 4x4 3500 -165,000",165000.0,"8502 East Chapman Avenue, Orange, California 92869, United States",2017,4x4 Sprinter Van 2017 -3500 - Late Model 2017 - converted Feb 2019,41000,4WD,Clean,Automatic,Diesel,170.0,8,5,,True,True,True,True,,True,True,,True,True,True,True,True,,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,
38,"2019 RAM Promaster. Price Reduced by 5k!! Bright, clean, & beautiful.",85400.0,"Salt Lake City, Utah 84102, United States",2019,Ram Promaster,17200,2WD,Clean,Automatic,Gasoline,159.0,2,2,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,,,,True,True,,,,True,,,True,,,,,True,,,,True,True,,,
39,2016 Mercedes Sprinter 2500 170 Passenger Van,48800.0,"Ardmore, Oklahoma, United States",2016,Mercedes Sprinter,45678,2WD,Clean,Automatic,Diesel,170.0,12,0,True,True,True,True,True,True,True,,,,,,,,,True,,,,,,,,,,True,,,,,,,,True,,,,,,,,,
40,2020 Sprinter 4x4 Seats up to 7 -2500 High Roof 144”,144900.0,"San Antonio, Texas, United States",2020,Mercedes Sprinter,16056,4WD,Lien,Automatic,Diesel,144.0,7,5,True,True,True,True,True,True,True,True,,,True,True,True,True,,True,True,,,True,,True,,True,,True,True,,,,True,True,,True,,,19.0,,,,True,,
41,1993 Ford E-350 Ambulance - 4x4 - Only 20k miles!,27500.0,"Bend, Oregon, United States",1993,Ford E-350,20350,4WD,Clean,Automatic,Diesel,138.0,6,2,,,,,,,True,,,True,,,,,,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,
42,Adventure Camper Van has it all! - Ready to Travel!,45900.0,"Roanoke Rapids, North Carolina 27870, United States",2016,Ram Promaster,108500,2WD,Clean,Automatic,Gasoline,159.0,4,3,True,True,True,True,True,True,,,,,True,True,True,,True,True,True,True,True,,True,True,True,,True,,True,,,,,,,True,,,19.0,,,True,,,
43,2021 Ram Promaster 136 Full Conversion - San Juan Vans,91500.0,"Bayfield, Colorado, United States",2021,Ram Promaster,400,2WD,Clean,Automatic,Gasoline,136.0,4,2,True,,True,True,True,True,,True,True,,True,True,True,True,True,True,True,,True,,,,True,True,,,True,,,,True,,,,,,,,,,,,
44,2017 Sprinter 144 4X4 Custom Build by Oregon Motorcoach Center,165000.0,"29417 Airport Road, Eugene, Oregon 97402, United States",2017,Mercedes Sprinter,12820,4WD,Clean,Automatic,Diesel,144.0,2,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,,,,True,,,True,True,True,True,,True,True,True,,True,,,,,,,
45,Introducing the Baja Mobile- A brand new fully converted Mercedes Sprinter 144 4x4,152000.0,"Denver, Colorado, United States",2020,Mercedes Sprinter,700,4WD,Clean,Automatic,Diesel,144.0,2,2,,,,True,,True,True,True,True,True,True,True,True,True,,True,True,,True,,,,,,True,,True,True,,,,True,,True,,,,,,,,,
46,2017 Mercedes Sprinter 4x4 170WB,98000.0,"Hamilton, Alabama, United States",2017,Mercedes Sprinter,76000,4WD,Lien,Automatic,Diesel,170.0,2,4,True,True,,True,True,,,True,,True,True,True,True,True,True,True,True,,True,,,,True,,,,True,,,,True,,,,,,18.0,,,True,,,
47,Freightliner Sprinter Crew 4x4,98900.0,"Bellingham, Washington, United States",2020,Freightliner Sprinter,6500,4WD,Clean,Automatic,Diesel,144.0,5,4,True,True,True,True,True,True,,,,True,,True,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,
48,2018 RAM PROMASTER - HIGH ROOF CAMPER VAN,70000.0,"Salt Lake City, Utah, United States",2018,"Ram Promaster 2500 - 159"" WB High Roof",52500,2WD,Lien,Automatic,Gasoline,159.0,2,2,True,True,,True,True,True,True,True,True,,True,True,,True,,True,True,True,True,,,,,,,,True,,,,,,,,True,,,,,,,,
49,2015 4x4 Mercedes Sprinter 2500,159000.0,"Maupin, Oregon, United States",2015,Mercedes Sprinter 2500 4x4,89000,4WD,Clean,Automatic,Diesel,144.0,2,2,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,True,,,15.0,,,,,,
0,"(SALE PENDING) 2016 Mercedes Sprinter 144 4x4 | Seats 3, Sleeps 3",95000.0,"Encinitas, California, United States",2016,2016 Mercedes Sprinter Van 144 4x4,51000,4WD,Clean,Automatic,Diesel,144.0,3,3,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,,True,,,,,,True,,,,,,True,,,,True,,,,,,,,
1,Ready for ski season! Sprinter 170,43995.0,"Jacksonville, Florida, United States",2013,Mercedes sprinter 3500 170,155000,2WD,Clean,Automatic,Diesel,170.0,2,2,,,,,,True,,,,,True,,True,True,True,,,,True,,,,,,True,,True,,,,,,,,,,,,,True,,,
2,Van Life Chicago 2021 Ram Promaster - 8020 Build,89500.0,"3240 West Lake Avenue, Glenview, Illinois 60026, United States",2021,Ram Promaster 2500,18200,2WD,Clean,Automatic,Gasoline,159.0,4,2,True,,,True,True,True,,True,True,,True,True,True,True,True,True,True,,True,,,True,True,,,,True,,True,,True,,,,,,,,,,,,
3,Ram Promaster Camper (finance half),77500.0,"Chattanooga, Tennessee, United States",2019,Ram Promaster,24780,2WD,Clean,Automatic,Gasoline,159.0,2,2,True,True,,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,,,,,,,True,,True,,,,True,,,,,,18.0,,,True,,,
4,2016 Ford 350 Transit Van,32000.0,"San Marcos, California, United States",2016,Ford Transit Van,89300,Other,Missing,Automatic,Gasoline,,2,2,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2007 Freightliner Sprinter,35000.0,"7675 Tega Cay Drive, Tega Cay, South Carolina 29708, United States",2007,Freightliner Sprinter,117000,2WD,Clean,Automatic,Diesel,144.0,2,3,,,,,,True,,,,True,True,,True,True,True,True,True,True,True,,,,,,True,,True,,,,,True,,,,,,,,True,,,
6,MERCEDES BENZ 2017 144WB SPRINTER VAN CAMPER,92000.0,"Costa Mesa, California, United States",2017,Mercedes-Benz Sprinter 2500,92750,2WD,Clean,Automatic,Diesel,144.0,2,2,True,,True,True,True,True,,,,True,True,True,True,True,,True,True,,,,,,,True,,,,,True,,True,,True,,,,,,,,,,
7,Very Rare Sprinter 3500 4x4 Dually 2 ton Extended High Top sleeps 5,225000.0,"Encinitas, California, United States",2017,2017/2018 Sprinter 3500 4x4 Dually 2 ton Extended High Top,49500,4WD,Clean,Automatic,Diesel,170.0,2,5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,13.0,,,True,,,
8,MTERRA Modern Camper Van,132500.0,"Cumming, Georgia, United States",2019,Ford Transit,12009,2WD,Clean,Automatic,Gasoline,,2,2,True,True,,True,,,True,True,True,,True,True,True,True,,True,True,,True,True,,True,,,,,True,,,,,,,,,,,,,,,,
9,Badger - A Cozy Promaster City Van Conversion,9998.0,"Boston, Massachusetts, United States",2016,Ram Promaster City,54000,2WD,Clean,Automatic,Gasoline,,2,2,True,,True,,,True,,True,,,True,True,True,True,,True,,,,,,,,,True,,True,,,True,,,,,,,24.0,,,True,True,,
10,2018 Mercedes Benz Sprinter 3500 170 EXT,113500.0,"Chicago, Illinois, United States",2018,Mercedes Benz Winnebago ERA 70M,20000,2WD,Clean,Automatic,Diesel,170.0,4,2,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,,,True,True,,,,,True,,True,True,True,,True,
11,Joyride: Mercedes-Benz Sprinter Van 144 Wheel Base High Roof Custom Build,95000.0,"Newport Beach, California 92663, United States",2020,Mercedes Sprinter Van,12000,2WD,Clean,Automatic,Diesel,144.0,2,2,True,True,True,True,,True,True,True,True,,,True,True,True,,True,True,,,,,,,,,,True,,,,,,,,True,,19.0,,,,,,
12,Beautiful Ford Transit Camper Van with 4 x 100 Solar and Roof Mounted AC,35000.0,"Cape Coral, Florida, United States",2016,Ford Transit,99000,2WD,Clean,Automatic,Gasoline,,2,2,True,True,True,True,True,True,True,,True,True,True,True,True,True,,True,True,,,,,True,,,True,,True,,,,,,,True,True,,,,,,,,
