,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Built-in),Grey / Black Water Tanks,Offroad Tires,Refrigerator,Roof Fan,Sink,Solar,Stove,USB port,Water Pump,Bike Rack,Heater / Furnace,Microwave,Shower (Indoor),Toilet,Water Heater,Awning,Fresh Water Tank (Portable),Heated seats,Inverter,Offroad Lights,Roof Rack,Security System,Shower (Outdoor),Suspension Mods,Tow Winch,Towing Package,Cooler,TV,Fuel Efficiency (Highway),Generator,Oven,Propane,Child Seat,Skylight,Handicap / Wheelchair Conversion
15,2021 Ford Transit AWD By Voyager Conversions,86900.0,"107 Diversified Dr, Villa Ridge, Missouri 63089, United States",2021,Ford Transit,450,AWD,Clean,Automatic,Gasoline,18.0,2,2,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,,,,True,,,True,,True,,True,True,,,,True,True,,,,,True,,,
16,2020 Ford Transit AWD 4 Seater,129900.0,"Villa Ridge, Missouri, United States",2020,Ford Transit,1300,AWD,Clean,Automatic,Gasoline,,4,3,True,True,True,True,True,True,True,True,True,,True,True,,True,True,True,True,,,True,,True,,,True,True,True,,True,True,,True,True,True,True,,,,,True,,,
17,2020 Transit High Roof Colorful Minimalism,95000.0,"Denver, Colorado, United States",2020,2020 Ford Transit High Roof,16500,2WD,Clean,Automatic,Gasoline,144.0,2,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,,True,,True,,,True,True,True,,True,True,True,True,,,,,,True,,,
18,2019 Promaster Extended New Build,95000.0,"Nashville, Tennessee, United States",2019,2019 Ram Promaster 159 Extended,14000,2WD,Clean,Automatic,Gasoline,159.0,2,2,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,,,True,True,,,,True,,True,,True,,,,,,,,,,,,
19,2013 Sprinter New Build,79500.0,"Nashville, Tennessee, United States",2014,2013 Mercedes Sprinter 144,114000,2WD,Clean,Automatic,Diesel,144.0,2,2,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,,True,,,True,True,,,,True,,True,,True,,,,,,,,,,,,
20,Stealthy Overlander,170000.0,"Traverse City Area, Michigan, United States",2020,2020 MB Sprinter 144,12125,4WD,Clean,Automatic,Diesel,144.0,2,2,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,,,True,True,,True,True,True,True,,True,True,True,True,,,16.0,,,True,,,
21,2020 Fully Loaded Ford Transit 350 AWD Extended High Roof,145000.0,"Boise, Idaho, United States",2020,Ford Transit,375,AWD,Clean,Automatic,Gasoline,148.0,2,2,True,True,True,True,True,True,,True,True,,True,True,True,True,,True,True,,True,,True,True,True,,,,True,,,True,,,,True,,,,,,,,,
22,Custom Hi-Top Sprinter 2500 Diesel 144 wb ... All ready to go off the grid!,72000.0,"San Diego, California, United States",2010,Mercedes Sprinter,155000,2WD,Clean,Automatic,Diesel,144.0,2,2,True,,,True,,True,,True,True,,True,True,True,True,,,True,,,,True,True,,,,,True,,,,,,,,,,,,,,,,
23,2019 Quigley 4x4 148 Reg by OZK Vans,65032.0,"Fayetteville, Arkansas, United States",2019,Ford Transit,22000,4WD,Clean,Automatic,Gasoline,,2,4,True,True,True,True,True,True,True,,,True,,,,,,True,,,,,,,,,,,True,,,True,,True,,,,,,,,,,,
24,2019 Ford Transit Mid Roof Farmhouse Style Van,74000.0,"Wilmington, North Carolina, United States",2019,Ford Transit,27700,2WD,Lien,Automatic,Gasoline,148.0,2,2,True,,True,True,True,True,,,True,,True,True,True,True,True,True,True,,,,,True,,,True,,True,,,,,,,,,True,,,,,,,
25,2013 Ford E450 shuttle! (lots of room!),17699.0,"Sacramento, California, United States",2013,Ford E450,137000,2WD,Clean,Automatic,Gasoline,,15,0,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,170 WB HIGH ROOF DIESEL SPRINTER VAN,64000.0,"Murrieta, California, United States",2019,Mercedes sprinter,9000,2WD,Clean,Automatic,Diesel,170.0,4,3,True,True,True,True,True,True,True,,,True,,,,,,True,,,,,,,,,,,,True,True,,,True,True,True,,,,,,,,,
27,Budget Professional Van Life Build!,28500.0,"Denver, Colorado, United States",2007,Ford Econoline,78000,2WD,Clean,Automatic,Gasoline,,2,2,True,True,True,,True,,,,True,True,,True,True,True,,True,True,,,,,,,True,True,,True,,True,,,,,True,True,,,,,,,,
28,170ex Professional Sprinter Conversion,72000.0,"Indiana, United States",2011,Freightliner Sprinter 170ex,120000,2WD,Clean,Automatic,Diesel,170.0,4,4,True,,True,,,,,True,True,,True,True,True,True,,True,True,,,,,True,True,,,,True,,True,,True,,,,,,,,,,,,
29,2006 Dodge Sprinter Conversion,45000.0,"Dallas, Texas, United States",2006,Dodge Sprinter,151000,2WD,Clean,Automatic,Diesel,170.0,2,2,True,True,True,,True,,,True,True,,True,True,True,True,True,True,True,,True,,True,True,True,,,,,,,,,,,True,,,22.0,,,True,,,
30,Ford E350 Converted Camper Van,9999.0,"Pensaukee, Wisconsin, United States",2005,2005 Ford E350 Econoline,170000,2WD,Clean,Automatic,Gasoline,,2,2,True,True,,,,True,,,True,,,,True,,,,,,,,,,,,True,,True,,True,,,True,,True,,,,,,,,,
31,2004 lwb Sprinter conversion,48000.0,"Boca Raton, Florida, United States",2004,Dodge Sprinter 2500,70000,2WD,Clean,Automatic,Diesel,158.0,2,2,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,,True,True,,True,,,,,True,True,,,True,,,,,True,20.0,,,,,,
32,"2021 RAM ProMaster Camper Van ""Eclipse"" - BRAND NEW Vertical Van Conversion",105000.0,"633 100 South, Salt Lake City, Utah 84101, United States",2021,RAM ProMaster,2000,2WD,Clean,Automatic,Gasoline,159.0,2,2,True,True,True,True,True,True,,,True,,True,True,True,True,True,,,,True,,,,True,,True,,True,,,,True,,,True,,,,,,,,,
33,2021 Sprinter 144 4x4 Luxury Conversion,175000.0,"11300 North Highland Boulevard, Highland, Utah 84003, United States",2021,Mercedes Benz Sprinter,100,4WD,Clean,Automatic,Diesel,144.0,2,2,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,,True,True,,,,True,,,True,,,,,,,,,
34,Priced to Sell ASAP,38500.0,"Oklahoma City, Oklahoma, United States",2017,2017 Ram Promaster 2500,196000,2WD,Clean,Automatic,Gasoline,,2,3,True,True,True,True,True,True,True,True,True,,True,,True,,,True,True,,True,,True,,True,,True,,,,,,,,,,,True,18.0,,,,,,
35,2013 4X4 SPORTSMOBILE,145500.0,"60580 Gosney Road, Bend, Oregon 97702, United States",2013,Ford E350 EB,47600,4WD,Clean,Automatic,Gasoline,20.0,5,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,,True,True,True,True,,True,True,,,True,,True,,True,,,
