,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Fuel Efficiency (Highway),Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Portable),Generator,Grey / Black Water Tanks,Heater / Furnace,Inverter,Refrigerator,Roof Fan,Roof Rack,Shower (Outdoor),Sink,Solar,Toilet,USB port,Water Heater,Water Pump,Fresh Water Tank (Built-in),Shower (Indoor),Stove,Towing Package,Heated seats,Offroad Lights,Awning,Cooler,Offroad Tires,Security System,Suspension Mods,Tow Winch,Oven,Propane,Skylight,Bike Rack,Child Seat,Microwave,TV,Shower,Fuel (Code),Sprinter,Promaster,Transit,Other,Manufacturing Year Binned,Age,Wheelbase Binned,Size,West,Midwest,South,Northeast,Fuel Dummy,Plumbing Score,Gadget Score,Creature Comfort Score
171,Simplistic Walnut and White Sprinter Van,47999.0,West,2014,Sprinter,100500.0,2WD,Lien,Automatic,Diesel,20.0,144.0,2,2,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,Midlife,2,Small,1,1,0,0,0,1,8,12,5
172,2016 Off-Grid Sprinter Van Camper Van FOR SALE,85000.0,International,2016,Sprinter,74000.0,2WD,Clean,Automatic,Diesel,17.0,170.0,1,2,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Newer,3,Big,3,0,0,0,0,1,8,8,5
173,2019 Promaster 3500 extended with Full Bath | Off-Grid | Custom Van,95000.0,West,2019,Promaster,23900.0,2WD,Clean,Automatic,Gasoline,12.0,159.0,2,4,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,Newer,3,Mid Size,2,1,0,0,0,0,5,9,7
174,2019 4x4 Mercedes Sprinter,199000.0,West,2019,Sprinter,4386.0,4WD,Lien,Automatic,Diesel,19.571429,170.0,2,3,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Newer,3,Big,3,1,0,0,0,1,8,6,7
175,THE CUSTOM by Drifter Vans,109500.0,Midwest,2021,Sprinter,2831.686567164179,4WD,Clean,Automatic,Gasoline,19.571429,144.0,2,2,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,0,Brand New,4,Small,1,0,1,0,0,0,8,15,9
176,Fully Loaded Luxury 4x4 Sprinter ESV-1 built by Earth Ship Vans,270000.0,West,2019,Sprinter,1000.0,4WD,Lien,Automatic,Diesel,20.0,170.0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,Newer,3,Big,3,1,0,0,0,1,0,6,1
177,2019 4X4 Diesel 5 seat Moto van,87000.0,West,2019,Sprinter,34727.0,4WD,Clean,Automatic,Diesel,20.0,144.0,5,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,4,7,2
178,Recently Reduced!! Low Mileage for Off-Grid adventures!,55000.0,South,2019,Promaster,14687.0,2WD,Clean,Automatic,Gasoline,18.009009,159.0,2,2,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Newer,3,Mid Size,2,0,0,1,0,0,6,4,5
179,GMC Savana 3500 | Architect-Converted Short Skoolie | Fully Equipped for Off-Grid Living,47500.0,West,2009,Other,180000.0,2WD,Clean,Automatic,Gasoline,22.0,131.0,2,3,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,Midlife,2,Small,1,1,0,0,0,0,7,7,6
180,FORD TRANSIT CAMPER FOR 4,84000.0,International,2020,Transit,16000.0,2WD,Clean,Automatic,Gasoline,18.009009,148.0,4,4,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,Newer,3,Small,1,0,0,0,0,0,0,7,1
