,Vehicle,Price,Location,Manufacturing Year,Make & Model,Mileage,Drive,Title Status,Transmission,Fuel,Fuel Efficiency (Highway),Wheel Base Length,Number of Seats with Seatbelts,Sleeping Capacity,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Electric windows,Exterior Lights,Fresh Water Tank (Portable),Generator,Grey / Black Water Tanks,Heater / Furnace,Inverter,Refrigerator,Roof Fan,Roof Rack,Shower (Outdoor),Sink,Solar,Toilet,USB port,Water Heater,Water Pump,Fresh Water Tank (Built-in),Shower (Indoor),Stove,Towing Package,Heated seats,Offroad Lights,Awning,Cooler,Offroad Tires,Security System,Suspension Mods,Tow Winch,Oven,Propane,Skylight,Bike Rack,Child Seat,Microwave,TV,Shower,Fuel (Code),Sprinter,Promaster,Transit,Other,Manufacturing Year Binned,Age,Wheelbase Binned,Size,West,Midwest,South,Northeast,Fuel Dummy,Plumbing Score,Gadget Score,Creature Comfort Score
0,2019 Silver 350 Transit DW HD High Roof Ecoboost Van,84000.0,South,2019,Transit,28084.0,2WD,Clean,Automatic,Gasoline,32.0,148.0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,Newer,3,Small,1,0,0,1,0,0,7,9,5
1,"One of a Kind Ford Transit 350 AWD. Boat inspired carpentry, Tilting Solar, Hidden Recirculating Shower.",190000.0,West,2021,Transit,3500.0,AWD,Clean,Automatic,Gasoline,22.0,148.0,2,4,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,Brand New,4,Small,1,1,0,0,0,0,7,7,6
2,2021 Sprinter,99800.0,West,2021,Sprinter,3000.0,2WD,Clean,Automatic,Diesel,18.0,144.0,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Brand New,4,Small,1,1,0,0,0,1,5,11,5
3,2016 Sprinter 170,72000.0,West,2016,Sprinter,46000.0,2WD,Clean,Automatic,Diesel,24.0,170.0,2,2,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Newer,3,Big,3,1,0,0,0,1,4,3,7
4,4x4 144 Mercedes sprinter,154000.0,West,2019,Sprinter,10000.0,4WD,Clean,Automatic,Diesel,16.0,144.0,2,2,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,6,13,9
5,SKOOLIANA 5 WINDOW WHEEL CHAIR DOOR SHORT BUS,45000.0,West,2003,Other,162000.0,2WD,Clean,Automatic,Diesel,19.571429,131.0,1,4,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,Midlife,2,Small,1,1,0,0,0,1,4,8,7
6,Adventure Camper Van has it all! - Ready to Travel!,45900.0,South,2016,Promaster,108500.0,2WD,Clean,Automatic,Gasoline,18.009009,159.0,4,3,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,1,0,0,Newer,3,Mid Size,2,0,0,1,0,0,6,8,6
7,Fully Loaded Luxury Tiny Home on Wheels,144500.0,West,2021,Sprinter,119.0,2WD,Clean,Automatic,Diesel,18.009009,144.0,2,2,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Brand New,4,Small,1,1,0,0,0,1,6,8,5
8,Van Life Chicago 2021 Ram Promaster - 8020 Build,89500.0,Midwest,2021,Promaster,18200.0,2WD,Clean,Automatic,Gasoline,19.571429,159.0,4,2,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,Brand New,4,Mid Size,2,0,1,0,0,0,7,6,5
9,2017 Mercedes 2500 Sprinter 4x4 (Delivered New in Aug 2018),99500.0,West,2017,Sprinter,21000.0,4WD,Clean,Automatic,Diesel,18.790219,144.0,3,3,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,1,13,7
10,NEW BUILD Ford Transit van conversion,69000.0,West,2018,Transit,65000.0,2WD,Clean,Automatic,Gasoline,18.009009,148.0,2,2,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,7,6,6
11,**Price Drop! - Fully Converted 2020 Mercedes Sprinter 144 4x4,173000.0,West,2020,Sprinter,4900.0,4WD,Clean,Automatic,Diesel,18.009009,144.0,4,3,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,6,11,5
12,2016 Ram Promaster 2500 159WB Brand New Build,69900.0,Northeast,2016,Promaster,47000.0,2WD,Clean,Automatic,Gasoline,22.0,159.0,3,3,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,Newer,3,Mid Size,2,0,0,0,1,0,5,5,3
13,"New 2021 Transit 350 High Roof Extended, Seat and Sleep for 4",99000.0,West,2021,Transit,600.0,2WD,Clean,Automatic,Gasoline,18.009009,148.0,4,4,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,Brand New,4,Small,1,1,0,0,0,0,7,7,7
14,2020 Ford Transit AWD 4 Seater,129900.0,Midwest,2020,Transit,1300.0,AWD,Clean,Automatic,Gasoline,18.0,148.0,4,3,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,2,0,0,1,0,Newer,3,Small,1,0,1,0,0,0,5,12,9
15,2020 Mercedes-Benz Sprinter 4X4 E.O. Graphite Gray/3M Black,194900.0,West,2020,Sprinter,6800.0,4WD,Clean,Automatic,Diesel,18.009009,144.0,4,4,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,7,13,6
16,*Price Drop* Low Mileage 2013 Fully Converted Mercedes Sprinter,59500.0,West,2013,Sprinter,59300.0,2WD,Clean,Automatic,Diesel,18.009009,144.0,2,2,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Midlife,2,Small,1,1,0,0,0,1,6,4,6
17,2020 Mercedes Sprinter,165000.0,South,2021,Sprinter,300.0,2WD,Clean,Automatic,Diesel,19.571429,170.0,2,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Brand New,4,Big,3,0,0,1,0,1,6,8,4
18,Immediate Build Date Opening!,85000.0,Midwest,2019,Sprinter,0.0,Other,Clean,Automatic,Diesel,21.0,144.0,2,2,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Newer,3,Small,1,0,1,0,0,1,7,4,4
19,2017 Mercedes-Benz Sprinter 2500 170WB High Roof 4WD,95000.0,Midwest,2017,Sprinter,40000.0,4WD,Clean,Automatic,Diesel,16.0,170.0,2,2,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Newer,3,Big,3,0,1,0,0,1,7,4,7
20,2019 Mercedes 2500 sprinter van 4x4,105200.0,West,2019,Sprinter,19319.0,4WD,Clean,Automatic,Diesel,18.009009,144.0,4,2,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,4,13,6
21,The White Elephant,39000.0,Midwest,1999,Other,160000.0,2WD,Clean,Automatic,Diesel,18.009009,131.0,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Old,1,Small,1,0,1,0,0,1,2,1,4
22,"2021 Mercedes Sprinter 144"" 4x4",122910.0,West,2021,Sprinter,150.0,4WD,Clean,Automatic,Diesel,18.009009,144.0,2,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Brand New,4,Small,1,1,0,0,0,1,4,5,4
23,2021 Ram Promaster Camper Van,66085.0,West,2021,Promaster,100.0,2WD,Clean,Automatic,Gasoline,19.0,136.0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Brand New,4,Small,1,1,0,0,0,0,2,2,1
24,Brand New 2020 Mercedes Sprinter (2021 Conversion),140000.0,Midwest,2020,Sprinter,120.0,2WD,Lien,Automatic,Diesel,25.0,144.0,2,2,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,Newer,3,Small,1,0,1,0,0,1,7,9,6
25,2021 PROMASTER LUXURY VAN shower & toilet,120000.0,International,2021,Promaster,7000.0,2WD,Clean,Automatic,Gasoline,18.009009,159.0,2,2,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,Brand New,4,Mid Size,2,0,0,0,0,0,6,6,7
26,Mountains To Coast 4x4,155000.0,West,2018,Transit,35000.0,4WD,Clean,Automatic,Gasoline,18.009009,148.0,4,4,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,7,13,6
27,Brand New Promaster Camper Conversion,95000.0,West,2021,Promaster,118.0,2WD,Lien,Automatic,Gasoline,18.0,159.0,2,3,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Brand New,4,Mid Size,2,1,0,0,0,0,4,8,4
28,2017 Transit Conversion,73000.0,West,2017,Transit,34000.0,2WD,Clean,Automatic,Gasoline,27.0,148.0,2,2,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,4,7,5
29,2017 Mercedes Sprinter (Sunset Series),83000.0,West,2017,Sprinter,42000.0,2WD,Clean,Automatic,Diesel,18.009009,144.0,2,2,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,5,9,5
30,2015 Mercedes Sprinter 2500 High Roof Build Out,70000.0,West,2015,Sprinter,91000.0,2WD,Clean,Automatic,Diesel,20.0,144.0,2,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Midlife,2,Small,1,1,0,0,0,1,5,8,5
31,2020 Mercedes Sprinter 2500 170 WB 4X4 With only 2K Miles,160000.0,Northeast,2020,Sprinter,2000.0,4WD,Clean,Automatic,Diesel,18.0,170.0,2,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,Newer,3,Big,3,0,0,0,1,1,8,10,7
32,2019 Transit Conversion,96250.0,West,2019,Transit,14500.0,2WD,Clean,Automatic,Gasoline,22.0,148.0,4,4,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,8,9,6
33,2021 Base Camp by The RV Firm,98250.0,Midwest,2021,Promaster,2500.0,2WD,Clean,Automatic,Gasoline,18.009009,159.0,2,2,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,Brand New,4,Mid Size,2,0,1,0,0,0,8,11,7
34,New Hand-Crafted Converted Campervan,76000.0,West,2019,Promaster,13000.0,2WD,Clean,Automatic,Gasoline,18.009009,136.0,3,3,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,2,0,1,0,0,Newer,3,Small,1,1,0,0,0,0,6,13,9
35,2020 Ford Transit High Roof Extended Custom,114900.0,West,2020,Transit,14935.0,2WD,Clean,Automatic,Gasoline,18.009009,148.0,4,2,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,7,9,4
36,Sprinter 4x4 ready for your floor plan,120000.0,West,2020,Sprinter,17500.0,4WD,Clean,Automatic,Diesel,18.009009,144.0,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,0,9,1
37,Luxury NEW & LOW MILAGE Beautiful Conversion Camper Van,50000.0,West,2019,Promaster,56000.0,2WD,Clean,Automatic,Gasoline,19.571429,159.0,2,2,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,Newer,3,Mid Size,2,1,0,0,0,0,5,10,5
38,Ford Transit 148” WB High Roof 2021 Build,77000.0,South,2020,Transit,9750.0,2WD,Lien,Automatic,Gasoline,16.0,148.0,2,2,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,Newer,3,Small,1,0,0,1,0,0,3,7,6
39,(Brand New Build) 2019 RAM Promaster 2500 159” WB,125000.0,South,2019,Promaster,22380.0,2WD,Clean,Automatic,Gasoline,18.0,159.0,2,3,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,Newer,3,Mid Size,2,0,0,1,0,0,8,9,6
40,The Perfect 4x4,85000.0,West,2016,Sprinter,48800.0,4WD,Clean,Automatic,Diesel,18.0,144.0,5,4,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,0,11,3
41,Lifted Transit,32000.0,West,2015,Transit,61000.0,2WD,Clean,Automatic,Gasoline,19.571429,148.0,2,2,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,Midlife,2,Small,1,1,0,0,0,0,0,10,2
42,MERCEDES-BENZ SPRINTER 2500 CREW VAN HIGH ROOF 4X4 - Ready for Build! Tons of factory upgrades!,87500.0,South,2020,Sprinter,6659.0,4WD,Clean,Automatic,Diesel,20.0,144.0,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Newer,3,Small,1,0,0,1,0,1,0,7,2
43,"Huge van with a full size shower, full kitchen, queen+ size bed; everything you need to be off grid and fully sustainable!",68950.0,West,2014,Sprinter,238000.0,2WD,Clean,Automatic,Diesel,19.571429,170.0,2,2,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,Midlife,2,Big,3,1,0,0,0,1,8,8,8
44,VAN FOR SALE!,119000.0,West,2017,Sprinter,52000.0,2WD,Clean,Automatic,Diesel,19.571429,144.0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,4,2,2
45,FULLY LOADED VW WESTFALIA *NEW Engine/Interior/Solar*,50000.0,West,1982,Other,3000.0,2WD,Clean,Manual (Stick Shift),Gasoline,18.0,131.0,4,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,Old,1,Small,1,1,0,0,0,0,4,4,6
46,2021 RAM Promaster 2500 (159wb),93500.0,West,2021,Promaster,2600.0,2WD,Clean,Automatic,Gasoline,18.009009,159.0,2,2,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2,0,1,0,0,Brand New,4,Mid Size,2,1,0,0,0,0,7,6,8
47,very nicely equip camper,82500.0,West,2018,Promaster,33000.0,2WD,Clean,Automatic,Gasoline,19.571429,159.0,2,2,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,2,0,1,0,0,Newer,3,Mid Size,2,1,0,0,0,0,7,8,8
48,"Full Beautiful Conversion Transit, High Roof Extended Length",64500.0,West,2017,Transit,61000.0,2WD,Clean,Automatic,Gasoline,18.009009,148.0,2,2,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,4,7,6
49,4x4 Hi Roof 144 WB Mercedes Sprinter,129900.0,West,2015,Sprinter,36500.0,AWD,Clean,Automatic,Diesel,19.571429,144.0,2,2,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,Midlife,2,Small,1,1,0,0,0,1,6,10,9
50,Very Clean 2011 Mercedes Sprinter Van,29500.0,West,2011,Sprinter,171000.0,2WD,Clean,Automatic,Diesel,18.009009,144.0,12,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Midlife,2,Small,1,1,0,0,0,1,0,3,1
51,NEW 2020 4x4 144 MERCEDES SPRINTER,130000.0,Northeast,2020,Sprinter,300.0,4WD,Clean,Automatic,Diesel,19.571429,144.0,2,2,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,Newer,3,Small,1,0,0,0,1,1,8,13,7
52,2002 VW Eurovan Weekender Westfalia,27000.0,West,2002,Other,213000.0,2WD,Clean,Automatic,Gasoline,18.0,131.0,7,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,Midlife,2,Small,1,1,0,0,0,0,0,2,2
53,2021 Ram Promaster City Weekender,39500.0,Midwest,2021,Promaster,38.0,2WD,Clean,Automatic,Gasoline,18.009009,15.0,2,2,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,Brand New,4,Small,1,0,1,0,0,0,2,9,5
54,2020 RAM Promaster RV Elevation Road,31999.0,Midwest,2020,Promaster,250.0,2WD,Clean,Automatic,Gasoline,24.0,159.0,2,2,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Newer,3,Mid Size,2,0,1,0,0,0,3,7,3
55,2014/2021 Luxury Custom Build with Indoor shower,80000.0,Midwest,2014,Promaster,165239.0,2WD,Lien,Automatic,Gasoline,16.0,59.0,2,2,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,0,1,0,0,Midlife,2,Small,1,0,1,0,0,0,7,9,6
56,Katie - The home on wheels by Mybushotel,120000.0,West,2021,Promaster,2831.686567164179,2WD,Clean,Automatic,Gasoline,20.0,159.0,2,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,2,0,1,0,0,Brand New,4,Mid Size,2,1,0,0,0,0,8,7,10
57,Beautifully Set Up Simple Camper Van with Extras!,40995.0,West,2016,Promaster,48151.0,2WD,Clean,Automatic,Gasoline,10.0,136.0,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Newer,3,Small,1,1,0,0,0,0,1,4,1
58,2019 Ford 148 Regular by OZK Vans,48723.0,South,2019,Other,9000.0,2WD,Clean,Automatic,Gasoline,18.009009,131.0,2,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,Newer,3,Small,1,0,0,1,0,0,0,4,1
59,"MB SPRINTER 3500 HR WB 144"" CAMPER CONVERSION",30000.0,South,2012,Sprinter,227000.0,2WD,Clean,Automatic,Diesel,19.571429,144.0,2,2,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,Midlife,2,Small,1,0,0,1,0,1,3,5,5
60,Custom Micro Camper ! Fully Loaded ! Priced to Sell,29500.0,Midwest,2012,Transit,56328.0,2WD,Lien,Automatic,Gasoline,18.009009,148.0,2,2,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,Midlife,2,Small,1,0,1,0,0,0,6,6,3
61,2020 Transit RV Elevation Road,89900.0,Midwest,2020,Transit,750.0,2WD,Clean,Automatic,Gasoline,18.009009,148.0,2,2,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,Newer,3,Small,1,0,1,0,0,0,6,8,5
62,Beautifully Crafted Conversion Van,42000.0,West,2017,Transit,88000.0,2WD,Clean,Automatic,Gasoline,18.009009,144.0,3,2,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,Newer,3,Small,1,1,0,0,0,0,4,7,5
63,"Modern Luxury 4-Season Off-Grid Sprinter 170"" High-Top: HUGE Garage & Kitchen",78000.0,Northeast,2010,Sprinter,173000.0,2WD,Clean,Automatic,Diesel,18.009009,170.0,2,3,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,Midlife,2,Big,3,0,0,0,1,1,5,8,7
64,HIGH roof POP-top low-miles 2017 ProMaster,68000.0,West,2017,Promaster,37500.0,2WD,Clean,Automatic,Gasoline,19.571429,136.0,6,6,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Newer,3,Small,1,1,0,0,0,0,0,8,3
65,SPRINTER 4x4 2020 Build 2021,170499.0,West,2019,Sprinter,4176.0,4WD,Clean,Automatic,Diesel,18.009009,144.0,5,4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,Newer,3,Small,1,1,0,0,0,1,7,12,8
66,2020 Ram Promaster High Top,75000.0,West,2020,Promaster,26000.0,2WD,Clean,Automatic,Gasoline,18.009009,159.0,2,2,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,Newer,3,Mid Size,2,1,0,0,0,0,5,6,7
